rank,nome,url,descricao,estrelas,watchers,forks,linguagem,criado,atualizado,pushed_at,tamanho,licenca,topics,open_issues,default_branch,archived,disabled,private,fork,owner,owner_type,termo
15,Taoistzou/fixed-time-bipartite-consensus-of-multi-agent-system-with-disturbances,https://github.com/Taoistzou/fixed-time-bipartite-consensus-of-multi-agent-system-with-disturbances,固定时间二分一致性,18,18,2,MATLAB,2022-03-25T02:28:36Z,2025-10-24T03:08:05Z,2022-03-25T02:30:55Z,680,,,0,master,False,False,False,False,Taoistzou,User,bipa
16,Bipan101/bipan101,https://github.com/Bipan101/bipan101,,16,16,0,,2024-07-04T02:51:56Z,2025-12-02T17:25:53Z,2025-12-02T17:25:49Z,51,,,0,Main,False,False,False,False,Bipan101,User,bipa
17,bipaywallet/bipay-wallet-ios,https://github.com/bipaywallet/bipay-wallet-ios,币付钱包个人版IOS端,15,15,11,Objective-C,2018-11-13T02:27:22Z,2022-02-11T10:28:06Z,2018-12-21T09:10:54Z,54092,,"bipay, cryptocurrency, objective-c, opensource, wallet",2,master,False,False,False,False,bipaywallet,User,bipa
18,friggeri/css-bipartite-compression,https://github.com/friggeri/css-bipartite-compression,Companion repo of:,14,14,1,Python,2012-09-25T14:16:11Z,2016-08-01T06:14:47Z,2012-10-16T05:15:26Z,198,,,0,master,False,False,False,False,friggeri,User,bipa
19,mikolalysenko/bipartite-matching,https://github.com/mikolalysenko/bipartite-matching,Maximum bipartite matching in an unweighted graph,13,13,4,JavaScript,2014-01-23T22:54:59Z,2020-07-30T12:49:54Z,2014-04-29T00:48:14Z,160,MIT License,,0,master,False,False,False,False,mikolalysenko,User,bipa
20,SleekPanther/bipartite-matching,https://github.com/SleekPanther/bipartite-matching,Application of Ford-Fulkerson algorithm to find the maximum matching between 2 sides of a bipartite graph,12,12,4,Java,2017-04-15T14:00:04Z,2025-02-04T08:00:54Z,2017-04-21T11:14:57Z,806,,"algorithm, bipartite-graphs, bipartite-network, capacity, cardinality, directed-edges, directed-graphs, flow-network, flow-networks, ford-fulkerson, graph, match, maxflow, maximum-matching",0,master,False,False,False,False,SleekPanther,User,bipa
21,fahrbach/edge-weighted-online-bipartite-matching,https://github.com/fahrbach/edge-weighted-online-bipartite-matching,Edge-weighted online bipartite matching (JACM 2022),12,12,1,Jupyter Notebook,2020-04-15T13:39:03Z,2025-05-27T14:35:00Z,2023-06-18T20:00:37Z,9,MIT License,,0,master,False,False,False,False,fahrbach,User,bipa
22,HekpoMaH/Neural-Bipartite-Matching,https://github.com/HekpoMaH/Neural-Bipartite-Matching,,11,11,7,Jupyter Notebook,2020-05-20T08:24:05Z,2025-07-25T21:01:09Z,2024-07-06T12:23:56Z,76494,,,2,master,False,False,False,False,HekpoMaH,User,bipa
23,dberm22/Bipartite-Solver,https://github.com/dberm22/Bipartite-Solver,Presenting 4 different algorithms to solve bipartite graphs,11,11,3,Java,2015-04-17T02:09:41Z,2024-06-06T23:16:38Z,2021-02-22T16:54:39Z,1505,MIT License,,0,master,False,False,False,False,dberm22,User,bipa
24,jgalgarra/bipartgraph,https://github.com/jgalgarra/bipartgraph,,11,11,2,JavaScript,2017-06-14T19:52:34Z,2025-05-28T13:31:33Z,2025-05-28T13:31:30Z,81160,MIT License,,1,master,False,False,False,False,jgalgarra,User,bipa
25,tylersnetwork/signed_bipartite_networks,https://github.com/tylersnetwork/signed_bipartite_networks,Balance in Signed Bipartite Networks (CIKM 2019),9,9,4,Python,2019-11-09T05:50:29Z,2025-03-19T03:03:40Z,2020-06-22T04:39:57Z,609,MIT License,,0,master,False,False,False,False,tylersnetwork,User,bipa
26,S1mpleCod/cohesive_subgraph_bipartite,https://github.com/S1mpleCod/cohesive_subgraph_bipartite,This is an efficient algorithm for maximal biclique enumeration,9,9,2,C++,2022-04-19T02:14:27Z,2025-10-08T11:29:38Z,2023-07-19T10:10:03Z,1470,,"bicliques, maximal",1,main,False,False,False,False,S1mpleCod,User,bipa
27,ilyabo/d3-bipartite,https://github.com/ilyabo/d3-bipartite,D3 layout for drawing weighted bipartite graphs.,9,9,1,JavaScript,2015-08-07T09:12:51Z,2022-02-24T18:51:46Z,2018-11-08T09:51:48Z,92,MIT License,,0,master,False,False,False,False,ilyabo,User,bipa
28,junipertcy/bipartiteSBM-MCMC,https://github.com/junipertcy/bipartiteSBM-MCMC,C++ implementation of a MCMC sampler for the (microcanonical) bipartite SBM,8,8,1,C++,2017-07-28T11:19:03Z,2024-02-05T16:34:29Z,2023-05-17T19:43:05Z,216,GNU General Public License v3.0,"bipartite-network, clustering, graph-algorithms, inference, model-selection, network-science, stochastic-block-model",0,master,False,False,False,False,junipertcy,User,bipa
29,yanxinzhangcs/Top-r-Influential-Community-Search-in-Bipartite-Graphs,https://github.com/yanxinzhangcs/Top-r-Influential-Community-Search-in-Bipartite-Graphs,,8,8,0,C++,2024-07-28T17:12:18Z,2025-06-05T08:44:13Z,2024-12-26T04:58:22Z,43,,,0,master,False,False,False,False,yanxinzhangcs,User,bipa
30,Ayeps/bipartited2d,https://github.com/Ayeps/bipartited2d,Bipartite Graph Based Proportional Fair Resource Allocation for D2D Communication,7,7,8,Python,2018-08-08T05:36:07Z,2025-01-15T14:57:17Z,2018-07-27T06:34:38Z,40,,,0,master,False,False,False,False,Ayeps,User,bipa
31,rongwangnu/bipartite-ergm,https://github.com/rongwangnu/bipartite-ergm,ergm with two mode network data,7,7,6,C,2017-03-07T18:34:38Z,2023-12-13T09:25:01Z,2017-03-17T22:32:01Z,4,,,0,master,False,False,False,False,rongwangnu,User,bipa
32,mwhittaker/bipartisan_paxos,https://github.com/mwhittaker/bipartisan_paxos,Bipartisan Paxos,7,7,2,TeX,2018-11-03T04:31:20Z,2022-12-07T14:02:16Z,2021-09-16T04:29:35Z,1083,,,0,master,False,False,False,False,mwhittaker,User,bipa
33,flxf/maximum-bipartite-matching,https://github.com/flxf/maximum-bipartite-matching,A straightforward implementation of the augmenting path algorithm for solving maximum bipartite matching in C++.,7,7,2,C++,2013-04-12T06:47:30Z,2023-12-25T10:34:00Z,2013-04-14T03:37:07Z,124,,,0,master,False,False,False,False,flxf,User,bipa
34,THUfl12/bipartite-louvain,https://github.com/THUfl12/bipartite-louvain,bipartite louvain algorithm,7,7,1,Python,2019-10-08T07:02:00Z,2025-05-08T06:24:19Z,2019-11-14T11:18:03Z,15,,,0,master,False,False,False,False,THUfl12,User,bipa
35,windhaunting/Bipartite-Graph-Coclustering,https://github.com/windhaunting/Bipartite-Graph-Coclustering,Spectral Co-Clustering algorithm in Spark,7,7,0,Scala,2017-10-28T00:04:31Z,2023-08-10T14:56:33Z,2021-05-10T20:17:38Z,19,,"clustering, spark",0,master,False,False,False,False,windhaunting,User,bipa
36,bitliner/d3-bipartite-graph,https://github.com/bitliner/d3-bipartite-graph,Hello world for bipartite graph in D3.js,7,7,1,JavaScript,2013-03-30T07:06:24Z,2025-01-22T20:03:03Z,2017-03-01T02:21:29Z,49,,"charts, data-science, data-visualization, graph",1,master,False,False,False,False,bitliner,User,bipa
37,AnonymousResearchLab/BipartiteGraphModel,https://github.com/AnonymousResearchLab/BipartiteGraphModel,BipartiteGraphModels,6,6,2,Python,2020-01-21T18:00:14Z,2023-07-10T09:18:35Z,2020-06-11T18:03:45Z,24767,MIT License,,1,master,False,False,False,False,AnonymousResearchLab,User,bipa
38,yangzhixuan/bipandoc,https://github.com/yangzhixuan/bipandoc,Bidirectional html/markdown synchroniser,6,6,0,Haskell,2020-05-08T06:39:07Z,2024-11-18T15:42:39Z,2020-05-08T11:25:59Z,8287,GNU General Public License v3.0,"documentation-tool, format-converter, haskell",0,master,False,False,False,False,yangzhixuan,User,bipa
39,pmacg/hypergraph-bipartite-components,https://github.com/pmacg/hypergraph-bipartite-components,"Code to accompany the paper ""Finding Bipartite Components in Hypergraphs"", which is published in NeurIPS'21.",6,6,0,Python,2020-10-19T13:21:39Z,2023-12-15T13:39:42Z,2021-10-21T16:02:46Z,13649,,,0,main,False,False,False,False,pmacg,User,bipa
40,bipaywallet/bipay-sdk-java,https://github.com/bipaywallet/bipay-sdk-java,币付网关Java版SDK,5,5,6,Java,2018-11-12T10:51:49Z,2020-03-19T10:41:50Z,2018-11-21T05:25:58Z,76,,"bipay, crypocurrency",0,master,False,False,False,False,bipaywallet,User,bipa
41,s5k6/maxBipartiteMatching,https://github.com/s5k6/maxBipartiteMatching,Maximum cardinality bipartite matching; purely functional Haskell,5,5,0,Haskell,2016-07-06T08:03:27Z,2025-08-07T13:23:34Z,2019-06-04T16:58:07Z,204,GNU Affero General Public License v3.0,,0,master,False,False,False,False,s5k6,User,bipa
42,hsato1/Bipartite-Graph-Based-Recommendation-,https://github.com/hsato1/Bipartite-Graph-Based-Recommendation-,"This is a recommendation engine project with the random walk algorithm. This recommendation approach models the Pixie, a recommendation engine used for Pinterest. ",5,5,0,Python,2021-03-10T15:52:16Z,2023-10-12T06:47:04Z,2021-03-15T00:38:41Z,638,,,0,master,False,False,False,False,hsato1,User,bipa
43,BLHARMDA/Bipartite-Local-Models-and-hubness-aware-regression,https://github.com/BLHARMDA/Bipartite-Local-Models-and-hubness-aware-regression,,5,5,0,Python,2018-07-02T15:38:42Z,2022-08-18T19:32:44Z,2018-07-09T13:08:56Z,695,,,0,master,False,False,False,False,BLHARMDA,User,bipa
44,convexfi/bipartite,https://github.com/convexfi/bipartite,Learning Bipartite Graphs: Heavy Tails and Multiple Components (NeurIPS 2022),4,4,2,R,2022-09-24T03:59:35Z,2025-03-27T18:35:20Z,2023-05-28T02:57:03Z,6239,MIT License,,0,main,False,False,False,False,convexfi,Organization,bipa
45,amin1373/A-bipartite-matching-based-feature-selection-for-multi-label-learning-2021,https://github.com/amin1373/A-bipartite-matching-based-feature-selection-for-multi-label-learning-2021,,4,4,4,MATLAB,2020-12-09T22:04:20Z,2025-01-16T21:52:53Z,2021-04-12T04:32:50Z,4,,,0,main,False,False,False,False,amin1373,User,bipa
46,nstrayer/bipartiteNetwork,https://github.com/nstrayer/bipartiteNetwork,A 3-d gpu-powered bi-partite network visualization tool. For use in shiny or static environments. Fast.,4,4,1,JavaScript,2018-03-26T22:15:06Z,2018-03-29T19:23:31Z,2018-04-03T23:03:37Z,253,,,1,master,False,False,False,False,nstrayer,User,bipa
47,dilsonpereira/BipartiteMatching,https://github.com/dilsonpereira/BipartiteMatching,Python implementation of algorithms for maximum cardinality matching and maximum cost assignment in bipartite graphs,4,4,0,Python,2019-07-25T00:13:07Z,2024-04-21T12:58:59Z,2019-07-25T00:15:24Z,1,,"assignment-problem, bipartite-matching, maximum-cardinality-matching, maximum-cost-matching, primal-dual-algorithm",0,master,False,False,False,False,dilsonpereira,User,bipa
48,aaronlockhartdev/biparse,https://github.com/aaronlockhartdev/biparse,political bias analytics powered by machine learning,4,4,0,Python,2019-05-28T04:22:25Z,2020-02-16T02:38:17Z,2019-06-11T04:14:48Z,101,MIT License,,1,master,False,False,False,False,aaronlockhartdev,User,bipa
49,tlamadon/bipartitepandas,https://github.com/tlamadon/bipartitepandas,Python tools for bipartite labor data,4,4,1,Python,2021-03-24T03:30:05Z,2025-08-26T20:50:02Z,2025-08-26T20:49:59Z,11442,MIT License,,10,main,False,False,False,False,tlamadon,User,bipa
50,suleyman/bipatii,https://github.com/suleyman/bipatii,Bipatii flutter application,4,4,0,Dart,2021-03-06T20:45:08Z,2024-04-02T17:48:54Z,2021-03-06T20:51:50Z,125,,,0,master,False,False,False,False,suleyman,User,bipa
51,Bipan101/bipan-portfolio,https://github.com/Bipan101/bipan-portfolio,,4,4,0,CSS,2024-02-28T07:13:13Z,2025-11-28T08:37:22Z,2025-11-28T04:09:13Z,2296,,,0,Main,False,False,False,False,Bipan101,User,bipa
52,guoyangqin/approx_bipartite_match,https://github.com/guoyangqin/approx_bipartite_match,"Python implementation of an approximate Euclidean bipartite matching algorithm proposed by a 2004 paper ""A Near-Linear Constant-Factor Approximation for Euclidean Bipartite Matching?"" by Pankaj Agarwal and Kasturi Varadarajan.",4,4,0,Python,2020-04-29T09:01:33Z,2023-12-14T06:57:52Z,2020-06-11T10:07:41Z,70,,"approximation-algorithms, bipartite-matching, euclidean-matching, hungarian-algorithm",0,master,False,False,False,False,guoyangqin,User,bipa
53,mikolalysenko/bipartite-vertex-cover,https://github.com/mikolalysenko/bipartite-vertex-cover,Minimal vertex cover for bipartite graphs,4,4,1,JavaScript,2014-01-24T01:58:18Z,2018-12-11T17:52:26Z,2014-04-29T00:50:58Z,136,MIT License,,2,master,False,False,False,False,mikolalysenko,User,bipa
54,sduxbury/Key-players-in-Bipartite-Networks,https://github.com/sduxbury/Key-players-in-Bipartite-Networks,Two functions to calculate cohesion and fragmentation centrality in bipartite networks,4,4,1,R,2018-01-14T17:13:05Z,2023-10-17T09:08:50Z,2018-02-08T16:50:26Z,12,,"bipartite-network, cohesion, fragmentation, key-players, network-centrality, network-security, social-network, social-network-analysis, two-mode-network",0,master,False,False,False,False,sduxbury,User,bipa
55,aluxian/Assignment-Problem-Weighted-Bipartite-Matching,https://github.com/aluxian/Assignment-Problem-Weighted-Bipartite-Matching,Assignment Problem (Weighted Bipartite Matching),3,3,5,Java,2016-01-14T19:14:47Z,2021-02-01T05:18:37Z,2016-01-14T19:15:17Z,5,,,0,master,False,False,False,False,aluxian,User,bipa
56,rizalzaf/bipartite-mat,https://github.com/rizalzaf/bipartite-mat,Efficient and Consistent Adversarial Bipartite Matching,3,3,2,Matlab,2018-07-05T05:23:48Z,2025-12-03T03:58:56Z,2022-10-10T12:48:10Z,7879,MIT License,,1,master,False,False,False,False,rizalzaf,User,bipa
57,junipertcy/bipartiteSBM-KL,https://github.com/junipertcy/bipartiteSBM-KL,"Graph partitioning engine for the degree-corrected bipartite Stochastic Block Model, using the Kernighan-Lin algorithm.",3,3,0,C++,2017-08-22T12:20:13Z,2024-02-05T16:34:32Z,2018-06-20T15:39:29Z,32,,"community-detection, kernighan-lin-algorithm, stochastic-block-model",1,master,False,False,False,False,junipertcy,User,bipa
58,deepwebney/Edge-attributed-Skyline-Community-Search-in-Large-scale-Bipartite-Graphs,https://github.com/deepwebney/Edge-attributed-Skyline-Community-Search-in-Large-scale-Bipartite-Graphs,,3,3,2,Python,2023-11-24T08:22:53Z,2025-07-11T17:18:11Z,2024-06-20T11:05:38Z,24,,,2,main,False,False,False,False,deepwebney,User,bipa
59,ShunsukeTada1357/Bipathposets,https://github.com/ShunsukeTada1357/Bipathposets,,3,3,0,Julia,2024-03-08T08:51:36Z,2025-04-02T13:06:05Z,2025-04-11T03:10:50Z,1361,MIT License,,0,main,False,False,False,False,ShunsukeTada1357,User,bipa
60,tmavrakis/bipartite-checker,https://github.com/tmavrakis/bipartite-checker,A bipartite checker for 3 specific graph family.,3,3,0,C++,2019-10-12T14:27:54Z,2019-10-23T19:40:45Z,2019-10-12T16:04:35Z,14,,,0,master,False,False,False,False,tmavrakis,User,bipa
61,pedroilidio/bipartite_learn,https://github.com/pedroilidio/bipartite_learn,,3,3,1,Python,2022-03-10T20:52:58Z,2025-04-15T20:28:34Z,2024-12-07T14:25:43Z,1424,"BSD 3-Clause ""New"" or ""Revised"" License",,6,main,False,False,False,False,pedroilidio,User,bipa
62,sheldoncooper07/bipartite_matching,https://github.com/sheldoncooper07/bipartite_matching,Maximum matching in bipartite graphs,3,3,0,Python,2019-04-04T15:33:02Z,2021-01-22T13:15:15Z,2019-04-04T15:49:26Z,3,,,0,master,False,False,False,False,sheldoncooper07,User,bipa
63,prabhatbhusal/bipadportal-clone,https://github.com/prabhatbhusal/bipadportal-clone,This is repository for clone project of bipadportal website,3,3,0,TypeScript,2025-04-09T03:54:29Z,2025-04-15T03:27:36Z,2025-04-15T03:27:32Z,445,,,0,main,False,False,False,False,prabhatbhusal,User,bipa
64,dongwu92/cycle_bipartite,https://github.com/dongwu92/cycle_bipartite,Bipartite Graph Convolutional Networks with Cycle Adversial Generators,3,3,0,Python,2019-12-13T02:48:37Z,2022-03-13T03:08:35Z,2020-02-17T12:08:41Z,73667,MIT License,,0,master,False,False,False,False,dongwu92,User,bipa
65,square1001/online-bipartite-coloring,https://github.com/square1001/online-bipartite-coloring,The repository for the programs to prove the performance of randomized online coloring algorithm for bipartite graphs.,3,3,0,C++,2025-11-19T12:47:22Z,2025-12-04T16:42:39Z,2025-11-19T12:50:58Z,3121,,,0,main,False,False,False,False,square1001,User,bipa
66,xiaoxulv/Bipartite-Reinforcement-Clustering,https://github.com/xiaoxulv/Bipartite-Reinforcement-Clustering,Bipartite Reinforcement Clustering on documents and words for machine learning for texting mining ,3,3,0,Python,2015-09-21T19:02:38Z,2022-05-19T09:32:28Z,2015-10-15T00:40:11Z,3344,,,0,master,False,False,False,False,xiaoxulv,User,bipa
67,FranciscoMoretti/py_bipartite_matching,https://github.com/FranciscoMoretti/py_bipartite_matching,,3,3,0,Python,2021-02-13T23:50:28Z,2024-04-26T05:17:55Z,2021-05-13T00:00:21Z,282,MIT License,,0,master,False,False,False,False,FranciscoMoretti,User,bipa
68,kanbei7/Bipartite-OddBall,https://github.com/kanbei7/Bipartite-OddBall,"Oddball implementation on bipartitegraphs, including weight power law and eigenvalue power law.",3,3,0,Python,2017-03-23T23:36:33Z,2020-02-24T05:47:32Z,2017-04-06T23:15:56Z,3,,,0,master,False,False,False,False,kanbei7,User,bipa
69,uniba-mi/bipass-wikidata-pathfinder,https://github.com/uniba-mi/bipass-wikidata-pathfinder,BiPaSs: A pathfinding system with a bidirectional A* search algorithm for finding paths in Wikidata,3,3,0,Rust,2023-05-12T07:32:55Z,2025-04-06T10:46:57Z,2024-02-22T13:49:15Z,86225,GNU General Public License v3.0,"pathfinding, wikidata",0,main,False,False,False,False,uniba-mi,Organization,bipa
70,xing-yu/label_propagation_on_bipartite_graph,https://github.com/xing-yu/label_propagation_on_bipartite_graph,,3,3,1,Python,2018-10-16T16:38:59Z,2021-08-09T01:09:43Z,2019-04-10T17:23:59Z,3,,,0,master,False,False,False,False,xing-yu,User,bipa
71,zhangchenhaoseu/Bipartite-Matching-Problem-and-Assignment-Problem,https://github.com/zhangchenhaoseu/Bipartite-Matching-Problem-and-Assignment-Problem,二部图匹配问题和指派问题【更新中】  主要内容：  （1）二部图BFS染色判定方法的python实现  （2）无权二部图的最大匹配问题求解（最大流方法）  （3）有权二部图的最大匹配问题求解（匈牙利算法、以及Gurobi的建模求解）,3,3,0,Python,2023-07-07T16:08:55Z,2025-11-16T13:10:46Z,2023-07-11T09:48:52Z,19,,,0,main,False,False,False,False,zhangchenhaoseu,User,bipa
72,cbongiorno/Bipartite-Tools,https://github.com/cbongiorno/Bipartite-Tools,A tool for testing community detection algorithm on one mode bipartite projected network,2,2,4,C++,2016-05-29T07:58:43Z,2023-01-25T18:37:59Z,2017-09-11T07:29:20Z,680,GNU General Public License v3.0,,0,master,False,False,False,False,cbongiorno,User,bipa
73,biparnakroy/biparnakroy.github.io,https://github.com/biparnakroy/biparnakroy.github.io,,2,2,2,HTML,2020-05-19T13:24:42Z,2024-08-09T11:27:12Z,2024-08-09T11:27:08Z,7631,,,0,master,False,False,False,False,biparnakroy,User,bipa
74,semin/bipa,https://github.com/semin/bipa,BIPA: Biological Interaction database for Protein-nucleic Acid,2,2,0,Ruby,2008-11-28T17:46:31Z,2019-08-13T13:44:43Z,2011-07-29T19:13:09Z,38780,,,0,master,False,False,False,False,semin,User,bipa
75,JeremieMelo/EE382M-S22-FM-BiPartition,https://github.com/JeremieMelo/EE382M-S22-FM-BiPartition,Coding assignment 1 for EE382M-Spring 2022 VLSI Physical Design Automation,2,2,2,Python,2022-01-24T21:36:20Z,2024-02-03T02:31:14Z,2022-02-01T19:47:53Z,26,MIT License,,0,main,False,False,False,False,JeremieMelo,User,bipa
76,jgalgarra/bipartgraph2,https://github.com/jgalgarra/bipartgraph2,interactive bipartite networks visualization,2,2,1,JavaScript,2017-04-25T14:24:33Z,2017-06-14T19:51:53Z,2017-06-14T18:54:09Z,41472,MIT License,,0,master,False,False,False,False,jgalgarra,User,bipa
77,AnnieDavies/BipartiteNMA,https://github.com/AnnieDavies/BipartiteNMA,"Codes to obtain the results in the paper ""The bipartite structure of treatment-trial networks reveals the flow of information in network meta-analysis"" Annabel L Davies (2025)",2,2,0,R,2025-05-30T14:33:12Z,2025-05-31T12:31:03Z,2025-05-30T14:38:09Z,26,,,0,main,False,False,False,False,AnnieDavies,User,bipa
78,cran/bipartite,https://github.com/cran/bipartite,:exclamation: This is a read-only mirror of the CRAN R package repository.  bipartite — Visualising Bipartite Networks and Calculating Some (Ecological) Indices. Homepage: https://github.com/biometry/bipartite  ,2,2,1,R,2014-03-13T04:08:14Z,2025-10-07T13:42:12Z,2025-10-07T13:42:07Z,15606,,,0,master,False,False,False,False,cran,Organization,bipa
79,smejkalp/Bipartite,https://github.com/smejkalp/Bipartite,X36PAR,2,2,0,C++,2010-03-04T18:45:19Z,2014-01-08T04:42:01Z,2010-03-04T21:26:09Z,164,,,0,master,False,False,False,False,smejkalp,User,bipa
80,bapply/biparty,https://github.com/bapply/biparty,Biparty front-end,2,2,0,TypeScript,2018-09-08T12:30:32Z,2018-09-09T08:42:37Z,2018-09-08T17:03:42Z,130,,,0,master,False,False,False,False,bapply,Organization,bipa
81,FullFran/bipartite,https://github.com/FullFran/bipartite,,2,2,0,Jupyter Notebook,2023-05-03T17:32:07Z,2023-05-12T17:46:27Z,2023-05-12T17:44:17Z,46486,,,0,master,False,False,False,False,FullFran,User,bipa
82,rayenebech/Bipartite-Graphs,https://github.com/rayenebech/Bipartite-Graphs,This code checks if a graph is Bipartite or not  using the Adjacency Matrix and Adjacency List. The code is written in C#,2,2,0,C#,2020-08-24T20:31:31Z,2025-09-04T16:31:08Z,2020-08-24T20:47:16Z,81,,,0,master,False,False,False,False,rayenebech,User,bipa
83,SchlossLab/bipartite_graphs,https://github.com/SchlossLab/bipartite_graphs,,2,2,0,Python,2015-03-09T20:27:45Z,2015-05-31T16:05:37Z,2015-04-07T16:33:31Z,1328,Creative Commons Zero v1.0 Universal,,0,master,False,False,False,False,SchlossLab,Organization,bipa
84,klorel/Bipartite-modularity,https://github.com/klorel/Bipartite-modularity,,2,2,0,Python,2013-07-09T16:29:59Z,2023-07-13T00:46:39Z,2013-07-26T07:38:54Z,12116,,,1,master,False,False,False,False,klorel,User,bipa
85,agreenville/Bipartite-Network,https://github.com/agreenville/Bipartite-Network,Shiny app to visualise a bipartite network for student projects.,2,2,0,R,2018-01-18T00:40:07Z,2024-02-20T20:18:07Z,2020-03-11T03:32:19Z,164,MIT License,,4,master,False,False,False,False,agreenville,User,bipa
86,luckysahani/Bipartite-Matching,https://github.com/luckysahani/Bipartite-Matching,"Implement Edmonds-Karp variant of the Ford-Fulkerson algorithm to find the maximum bipartite matching on a bipartite graph G=(U,V,E).",2,2,0,C++,2014-11-02T10:21:44Z,2021-07-26T12:35:51Z,2014-11-03T12:07:25Z,136,,,0,master,False,False,False,False,luckysahani,User,bipa
