author,rating,title,content,votes,date
daaayyaaa,1,Impossível progredir sem fazer compras on-line,"O jogo é muito bom, o melhor de decoração que já joguei. Mas incrivelmente limitado, você joga uns 5 níveis, depois não tem como conseguir dinheiro para comprar os móveis, a não ser comprando (dinheiro real) dinheiro no jogo. O jogo poderia ser bem melhor se houvessem alguns móveis restritos a essa parte de compras reais, mas o restante estando disponível sem gastar dinheiro real. Experiência DECEPCIONANTE!",0,2024-12-26T17:04:24-07:00
えろs,5,Perfeito em todos os detalhes,É 1000,0,2024-12-11T17:22:31-07:00
Yasmim Luiz,1,Não gostei.,Apenas não atingiu minhas expectativas,0,2024-12-01T17:33:33-07:00
Ideas for the best game!,2,"Amazing, but…","This game is super relaxing and cool, but, when you run out of money when you are doing the challenge you can’t do nothing, only wait for money or pay irl. Please, stop those things with real money.",0,2024-11-21T14:30:09-07:00
Galileomessi,5,Bom,O jogo é legal,0,2024-10-20T14:12:38-07:00
eagassa,1,Ruim,"Não é animador pois as peças so podem ser usadas por 5 vezes, mesmo a gente usando nosso dinheiro de verdade para compra-las. O jogo trava sempre e principalmente depois que assiste os vídeos para aumentar os diamantes e a gente nunca recebe os diamantes por vídeos assistidos. O suporte não resolve nada.",0,2024-09-18T14:55:39-07:00
Caqs12,5,Muito bom mas precisa pagar,"O jogo é muito bom e relaxante, queria poder jogar mais e melhor. No entanto, você só consegue jogar de verdade se pagar para conseguir diamantes e, assim, comprar os móveis da estação. Isso é muito chato. Os desenvolvedores tem que resolver isso para que esse jogo tenha uma classificação melhor.",0,2024-06-29T13:44:54-07:00
CristinaBarcelos,4,Limitado,"O jogo é maravilhoso, muito bem pensado, bonito, viciante… porém é extremamente limitado. Itens que você só pode comprar com diamantes (e caros) e recebimento baixo pelos challenges enviados. Por mais que você se planeje, não consegue avançar muito, porque o dinheiro e os diamantes acabam rápido com tanta coisa cara no jogo pra adquirir. Mesmo comprando com seu cartão de crédito, acaba rápido. Eu amo esse jogo de verdade, mas gostaria muito que fosse mais flexível pra obtenção de recursos. Fora isso, perfeito.",0,2024-06-27T18:29:47-07:00
"ip....,",5,:),Muito bom 🩷,0,2024-06-06T22:28:29-07:00
Daí 3535,2,Poderia melhorar,"Os móveis são super caros, pra conseguir passar as fases tem que ter um design bom, porém pra ser bom, tem que gastar mais de 20k e quando vc terminar o desafio vc só ganha 1k de volta, os desafios demoram muito pra ser computados, tem alguns que demora 48hrs pra vê se vc ganhou algo ou não, e com isso as fases demora uma vida pra passar, o jogo é bom mais isso desanima muito",0,2024-05-22T21:26:38-07:00
futuramarrrrr,5,Linguagem português,"Por favor, pro jogo ser perfeito só falta linguagem em português, espero há anos por isso 🥺",0,2024-04-03T21:44:39-07:00
raaai.crss,4,Filter by prices,"I really like the game, but I think it should have the option to filter the items by prices",0,2024-03-27T18:49:15-07:00
Brenoalves123,2,Opção de objetos,Deverias ter como comprar os objetos em dinheiro também! Pq até juntar uma boa quantidade de diamante pra comprar um simples objeto! Não da vontade de ficar jogando pq tudo é caro e eu não tenho dinheiro real pra compra os diamantes é dinheiros no jogo! Obrigado,0,2024-03-21T11:49:31-07:00
DeboraDeorio,2,No version em portuguese,I've been playing since 2017 and still don't have a Portuguese version,0,2024-03-17T17:12:26-07:00
Nesssa de Vanessa,2,Eu amei,"Gente surreal adorei muito esse jogo, melhor jogo de design. Mais só peço que coloquem em português POR FAVOR vai facilitar os jogadores brasileiros.",0,2024-03-01T06:58:29-07:00
zyz87zeber,5,Excelente,"Muito realista, oferece peças de design belíssimas e uma gama variada de locações.",0,2024-02-06T02:44:35-07:00
GuiRosti,5,Muito bom,Jogo viciante,0,2023-12-06T19:09:28-07:00
Asdrubalina,5,Muito bom,Só falta o idioma Português.,0,2023-11-13T12:05:55-07:00
hgnfnf,4,Muito bom,"Gosto, mas seria mais legal se tivesse como ganhar mais moedas",0,2023-11-11T13:31:30-07:00
Velasques Márcia,2,Jogo caro para manter.,"O jogo é bom, mas é muito caro se manter jogando. Os itens possuem um valor de compra muito alto. Há poucos prêmios, demoram muito para contemplar os poucos prêmios que dão.",0,2023-11-08T15:34:13-07:00
Mac-Re,5,Adoro!,"Jogo bonito e divertido, com desafios diários e cenários lindos!",0,2023-09-10T08:16:23-07:00
