"fonte","tipo","termo","conteudo","relevancia","regiao","cliente","fonte_busca","categoria","data_coleta","valor","url","buscador","posicao","descricao","canal","channelId","channelUrl","video_id","views","likes","commentCount","duration","publicado_em","tags","categoryId","desenvolvedor","rating","ratings_count","reviews_count","installs","price","currency","genre","contentRating","icon","app_id","version","updated","title","app","thumbsUpCount","replyContent","repliedAt"
"Google Suggest","sugestao","bitcoin","bitcoin hoje gráfico","557.0","br","chrome","web","expansao_h","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin historico","556.0","br","chrome","web","expansao_h","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin halving","555.0","br","chrome","web","expansao_h","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin hoje agora","554.0","br","chrome","web","expansao_h","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin hoje tempo real","553.0","br","chrome","web","expansao_h","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin heatmap","552.0","br","chrome","web","expansao_h","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin hoje preço","551.0","br","chrome","web","expansao_h","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin hoje cotação","550.0","br","chrome","web","expansao_h","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin in dollar","1150.0","br","chrome","web","expansao_i","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin investidor10","650.0","br","chrome","web","expansao_i","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin investimento","601.0","br","chrome","web","expansao_i","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin imposto de renda","600.0","br","chrome","web","expansao_i","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin in usd","560.0","br","chrome","web","expansao_i","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin investing.com","559.0","br","chrome","web","expansao_i","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin inicio","558.0","br","chrome","web","expansao_i","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin imagem","557.0","br","chrome","web","expansao_i","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin imposto","556.0","br","chrome","web","expansao_i","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin infomoney","555.0","br","chrome","web","expansao_i","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin icon","554.0","br","chrome","web","expansao_i","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin itau","553.0","br","chrome","web","expansao_i","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin indice do medo","552.0","br","chrome","web","expansao_i","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin ira subir","551.0","br","chrome","web","expansao_i","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin indicadores","550.0","br","chrome","web","expansao_i","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin jogo","600.0","br","chrome","web","expansao_j","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
