fonte,tipo,termo,conteudo,relevancia,regiao,cliente,fonte_busca,categoria,data_coleta,valor,url,buscador,posicao,canal,video_id,publicado_em,autor,likes,video_titulo,desenvolvedor,rating,installs,app_id
Google Suggest,sugestao,bitcoin,bitcoin em 2012,556.0,br,chrome,web,expansao_e,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin em 2025,555.0,br,chrome,web,expansao_e,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin em 2018,554.0,br,chrome,web,expansao_e,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin em 2013,553.0,br,chrome,web,expansao_e,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin em 2014,552.0,br,chrome,web,expansao_e,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin em 2019,551.0,br,chrome,web,expansao_e,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin em queda hoje,550.0,br,chrome,web,expansao_e,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin fear and greed,1250.0,br,chrome,web,expansao_f,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin fed,900.0,br,chrome,web,expansao_f,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin futuro,750.0,br,chrome,web,expansao_f,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin faucet,604.0,br,chrome,web,expansao_f,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin fisico,603.0,br,chrome,web,expansao_f,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin fear,602.0,br,chrome,web,expansao_f,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin foi criado quando,601.0,br,chrome,web,expansao_f,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin forum,600.0,br,chrome,web,expansao_f,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin futuro b3,556.0,br,chrome,web,expansao_f,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin foto,555.0,br,chrome,web,expansao_f,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin dólar,554.0,br,chrome,web,expansao_f,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin fundo,553.0,br,chrome,web,expansao_f,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin final de 2025,552.0,br,chrome,web,expansao_f,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin físico existe,551.0,br,chrome,web,expansao_f,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin farm,550.0,br,chrome,web,expansao_f,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin grafico,1250.0,br,chrome,web,expansao_g,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin grafico dolar,601.0,br,chrome,web,expansao_g,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin gpt bot,600.0,br,chrome,web,expansao_g,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin graph,561.0,br,chrome,web,expansao_g,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin gold,560.0,br,chrome,web,expansao_g,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin github,559.0,br,chrome,web,expansao_g,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin gratis,558.0,br,chrome,web,expansao_g,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin gráfico histórico,557.0,br,chrome,web,expansao_g,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin gpt bot é confiável,556.0,br,chrome,web,expansao_g,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin gráfico agora,555.0,br,chrome,web,expansao_g,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin gpt bot é real,554.0,br,chrome,web,expansao_g,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin grafico tempo real,553.0,br,chrome,web,expansao_g,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin gráfico hoje,552.0,br,chrome,web,expansao_g,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin hoje,551.0,br,chrome,web,expansao_g,2025-12-11 21:07:47,,,,,,,,,,,,,,
