rank,nome,url,descricao,estrelas,watchers,forks,linguagem,criado,atualizado,pushed_at,tamanho,licenca,licenca_spdx,topics,open_issues,default_branch,archived,disabled,private,fork,owner,owner_type,owner_url,owner_avatar,has_issues,has_projects,has_wiki,has_pages,has_downloads,allow_forking,is_template,web_commit_signoff_required,visibility,forks_url,clone_url,homepage,termo
13,StockSharp/StockSharp,https://github.com/StockSharp/StockSharp,"Algorithmic trading and quantitative trading open source platform to develop trading robots (stock markets, forex, crypto, bitcoins, and options).",8875,8875,2033,C#,2014-12-08T07:53:44Z,2025-12-11T03:43:54Z,2025-12-04T12:20:23Z,1973858,Apache License 2.0,Apache-2.0,"algorithmic-trading, algorithmic-trading-engine, backtesting, bitcoins, broker, brokers, c-sharp, crypto, cryptocurrency, finance, fixprotocol, forex, hft-trading, interactive-brokers, quantitative-finance, stocks, trading, trading-platform, trading-robots, trading-strategies",8,master,False,False,False,False,StockSharp,Organization,https://github.com/StockSharp,https://avatars.githubusercontent.com/u/10113234?v=4,True,False,False,False,True,True,False,False,public,https://api.github.com/repos/StockSharp/StockSharp/forks,https://github.com/StockSharp/StockSharp.git,https://stocksharp.com,bitcoin
14,NoFxAiOS/nofx,https://github.com/NoFxAiOS/nofx,"NOFX: Defining the Next-Generation AI Trading Operating System. A multi-exchange Al trading platform(Binance/Hyperliquid/Aster) with multi-Ai competition(deepseek/qwen/gemini/claude)self-evolution, and real-time dashboard",8783,8783,2266,Go,2025-10-28T07:17:53Z,2025-12-12T03:25:11Z,2025-12-12T03:30:09Z,46973,GNU Affero General Public License v3.0,AGPL-3.0,"agentic-ai, agentictrading, ai, ai-trading, aitradingos, arbitrage, aster, binance, bitcoin, crypto, exchange, hyperliquid, nof1ai, perp-dex, trading",384,dev,False,False,False,False,NoFxAiOS,Organization,https://github.com/NoFxAiOS,https://avatars.githubusercontent.com/u/241546879?v=4,True,True,True,False,True,True,False,False,public,https://api.github.com/repos/NoFxAiOS/nofx/forks,https://github.com/NoFxAiOS/nofx.git,https://x.com/nofx_official,bitcoin
15,spesmilo/electrum,https://github.com/spesmilo/electrum,Electrum Bitcoin Wallet,8275,8275,3362,Python,2012-08-02T16:24:30Z,2025-12-11T19:08:14Z,2025-12-11T19:08:09Z,68683,MIT License,MIT,"bitcoin, bitcoin-wallet, electrum, lightning, lightning-network, python",1199,master,False,False,False,False,spesmilo,Organization,https://github.com/spesmilo,https://avatars.githubusercontent.com/u/2084673?v=4,True,False,False,False,True,True,False,False,public,https://api.github.com/repos/spesmilo/electrum/forks,https://github.com/spesmilo/electrum.git,https://electrum.org,bitcoin
16,lightningnetwork/lnd,https://github.com/lightningnetwork/lnd,Lightning Network Daemon ⚡️,8070,8070,2216,Go,2016-01-16T08:19:33Z,2025-12-11T23:05:33Z,2025-12-11T23:05:27Z,106827,MIT License,MIT,"bitcoin, blockchain, cryptocurrency, cryptography, lightning, lightning-network, micropayments, payments, peer-to-peer, protocol",811,master,False,False,False,False,lightningnetwork,Organization,https://github.com/lightningnetwork,https://avatars.githubusercontent.com/u/13424735?v=4,True,True,True,False,True,True,False,False,public,https://api.github.com/repos/lightningnetwork/lnd/forks,https://github.com/lightningnetwork/lnd.git,,bitcoin
17,dvf/blockchain,https://github.com/dvf/blockchain,A simple Blockchain in Python,8041,8041,2811,C#,2017-09-24T19:36:36Z,2025-12-11T11:32:29Z,2024-07-21T21:35:02Z,127,MIT License,MIT,"bitcoin, blockchain, cryptocurrency, flask, python",133,master,False,False,False,False,dvf,User,https://github.com/dvf,https://avatars.githubusercontent.com/u/1169974?v=4,True,True,True,False,True,True,False,False,public,https://api.github.com/repos/dvf/blockchain/forks,https://github.com/dvf/blockchain.git,,bitcoin
18,btcpayserver/btcpayserver,https://github.com/btcpayserver/btcpayserver,"Accept Bitcoin payments. Free, open-source & self-hosted, Bitcoin payment processor. ",7263,7263,1871,C#,2017-08-18T12:57:05Z,2025-12-11T13:32:53Z,2025-12-10T19:32:07Z,60763,MIT License,MIT,"bitcoin, bitcoin-payment-gateway, bitcoin-payment-processor, crowdfunding, lightning-network, payment-gateway, point-of-sale, selfhosted",100,master,False,False,False,False,btcpayserver,Organization,https://github.com/btcpayserver,https://avatars.githubusercontent.com/u/31132886?v=4,True,True,False,False,True,True,False,False,public,https://api.github.com/repos/btcpayserver/btcpayserver/forks,https://github.com/btcpayserver/btcpayserver.git,https://btcpayserver.org/,bitcoin
19,jesse-ai/jesse,https://github.com/jesse-ai/jesse,An advanced crypto trading bot written in Python,7215,7215,1015,JavaScript,2018-11-09T10:38:44Z,2025-12-11T01:50:44Z,2025-12-10T14:27:13Z,42085,MIT License,MIT,"algo-trading, algorithmic-trading, bitcoin, bot, crypto, crypto-bot, crypto-bot-trading, cryptocurrency, framework, jesse, python, quantitative-finance, quantitative-trading, trade, trading, trading-algorithms, trading-bot, trading-strategies",11,master,False,False,False,False,jesse-ai,Organization,https://github.com/jesse-ai,https://avatars.githubusercontent.com/u/44895627?v=4,True,False,True,False,True,True,False,False,public,https://api.github.com/repos/jesse-ai/jesse/forks,https://github.com/jesse-ai/jesse.git,https://jesse.trade,bitcoin
20,lbryio/lbry-sdk,https://github.com/lbryio/lbry-sdk,"The LBRY SDK for building decentralized, censorship resistant, monetized digital content apps.",7190,7190,491,Python,2015-08-20T15:24:10Z,2025-12-10T07:33:45Z,2024-08-19T07:49:41Z,23756,MIT License,MIT,"bitcoin, bittorrent, blockchain, cryptocurrency, decentralized, dht, kademlia, lbry, p2p, protocol, python",398,master,False,False,False,False,lbryio,Organization,https://github.com/lbryio,https://avatars.githubusercontent.com/u/13889222?v=4,True,False,True,True,True,True,False,False,public,https://api.github.com/repos/lbryio/lbry-sdk/forks,https://github.com/lbryio/lbry-sdk.git,https://lbry.com,bitcoin
21,yeasy/blockchain_guide,https://github.com/yeasy/blockchain_guide,"Introduce blockchain related technologies, from theory to practice with bitcoin, ethereum and hyperledger.",7049,7049,1960,Go,2016-06-08T12:39:33Z,2025-12-09T13:16:56Z,2025-08-18T17:05:20Z,33359,,,"bitcoin, blockchain, book, distributed-ledger, distributed-system, ethereum, fintech, hyperledger, technology",4,master,False,False,False,False,yeasy,User,https://github.com/yeasy,https://avatars.githubusercontent.com/u/1920564?v=4,True,True,True,True,True,True,False,False,public,https://api.github.com/repos/yeasy/blockchain_guide/forks,https://github.com/yeasy/blockchain_guide.git,https://yeasy.gitbook.io/blockchain_guide/,bitcoin
22,btcsuite/btcd,https://github.com/btcsuite/btcd,An alternative full node bitcoin implementation written in Go (golang),6627,6627,2508,Go,2013-08-06T18:10:52Z,2025-12-11T06:52:59Z,2025-12-11T00:18:13Z,27011,ISC License,ISC,"bitcoin, btcd, hacktoberfest",309,master,False,False,False,False,btcsuite,Organization,https://github.com/btcsuite,https://avatars.githubusercontent.com/u/10235229?v=4,True,True,True,False,True,True,False,False,public,https://api.github.com/repos/btcsuite/btcd/forks,https://github.com/btcsuite/btcd.git,https://github.com/btcsuite/btcd/blob/master/README.md,bitcoin
