rank,titulo,autores,autores_lista,data,data_completa,link,resumo,categorias,categorias_lista,arxiv_id,doi,comment,journal_ref,primary_category,termo
11,Bitcoin's Carbon Footprint Revisited: Proof of Work Mining for Renewable Energy Expansion,"Juan Ignacio Ibañez, Alexander Freier","['Juan Ignacio Ibañez', 'Alexander Freier']",2023-02-03,2023-02-03T19:53:55Z,https://arxiv.org/abs/2304.04578v3,"Despite their potential in many respects, blockchain and distributed ledger technology (DLT) technology have been the target of criticism for the energy intensity of the proof-of-work (PoW) consensus algorithm in general and of Bitcoin mining in particular. However, mining is also believed to have the potential to drive net decarbonization and renewable penetration in the energy grid by providing ancillary and other services. In this paper, we systematize the state of the art in this regard. Although not completely absent from the literature, the extent to which flexible load response (FLR) through PoW mining may support grid decarbonization remains insufficiently studied and hence contested. We approach this research gap by systematizing both the strengths and the limitations of mining to provide FLR services for energy grids. We find that a net-decarbonizing effect led by renewable-based mining is indeed plausible.","cs.DC, cs.CR","['cs.DC', 'cs.CR']",2304.04578v3,,"A previous version of this paper was titled ""Can Bitcoin Stop Climate Change? Proof of Work, Energy Consumption and Carbon Footprint (SoK)""","Challenges, EISSN 2078-1547, Published by MDPI",cs.DC,bitcoin
12,The Effects of the Introduction of Bitcoin Futures on the Volatility of Bitcoin Returns,"Wonse Kim, Junseok Lee, Kyungwon Kang","['Wonse Kim', 'Junseok Lee', 'Kyungwon Kang']",2019-06-08,2019-06-08T09:38:28Z,https://arxiv.org/abs/1906.03430v1,"This paper investigates the effects of the launch of Bitcoin futures on the intraday volatility of Bitcoin. Based on one-minute price data collected from four cryptocurrency exchanges, we first examine the change in realized volatility after the introduction of Bitcoin futures to investigate their aggregate effects on the intraday volatility of Bitcoin. We then analyze the effects in more detail utilizing the discrete Fourier transform. We show that although the Bitcoin market became more volatile immediately after the introduction of Bitcoin futures, over time it has become more stable than it was before the introduction.",q-fin.TR,['q-fin.TR'],1906.03430v1,,Accepted in Finance Research Letters,,q-fin.TR,bitcoin
13,Energy Demand Unawareness and the Popularity of Bitcoin: Evidence from Nigeria,"Moritz Platt, Stephen Ojeka, Andreea-Elena Drăgnoiu, Oserere Ejemen Ibelegbu, Francesco Pierangeli, Johannes Sedlmeir, Zixin Wang","['Moritz Platt', 'Stephen Ojeka', 'Andreea-Elena Drăgnoiu', 'Oserere Ejemen Ibelegbu', 'Francesco Pierangeli', 'Johannes Sedlmeir', 'Zixin Wang']",2022-07-30,2022-07-30T17:30:45Z,https://arxiv.org/abs/2208.00280v3,"Decentralized cryptocurrency networks, notably those with high energy demand, have faced significant criticism and subsequent regulatory scrutiny. Despite these concerns, policy interventions targeting cryptocurrency operations in the pursuit of sustainability have largely been ineffective. Some were abandoned for fear of jeopardizing innovation, whereas others failed due to the highly globalized nature of blockchain systems. In search of a more effective angle for energy policy measures, this study adopts a consumer-centric perspective, examining the sentiments of Nigerian cryptocurrency users (${n=158}$) toward Bitcoin's sustainability, a representative cryptocurrency known for its high electricity demand. Three main findings emerged: 1) Even among those self-identifying as highly knowledgeable, most considerably underestimated Bitcoin's electricity consumption. 2) Participants with a more accurate understanding of Bitcoin's energy demand were more inclined to support sustainability measures. 3) Most of this supportive cohort viewed private entities as the primary stakeholders for implementing such measures. Given these findings, we suggest that consumer education should be at the forefront of policy initiatives aimed at cryptocurrency sustainability.",cs.CY,['cs.CY'],2208.00280v3,10.1093/ooenergy/oiad012,"Early versions of this article were disseminated under the title ""How to Make Users Adopt More Sustainable Cryptocurrencies: Evidence from Nigeria"". Subsequently, the article has been renamed to ""Energy Demand Unawareness and the Popularity of Bitcoin: Evidence from Nigeria"", which is the title of the published version of record and the appropriate nomenclature for all citations of this work","Oxford Open Energy, 2023, 2, oiad012",cs.CY,bitcoin
14,"Bitcoin, a DAO?","Mark C. Ballandies, Guangyao Li, Claudio J. Tessone","['Mark C. Ballandies', 'Guangyao Li', 'Claudio J. Tessone']",2025-04-29,2025-04-29T15:01:03Z,https://arxiv.org/abs/2504.20838v1,"This paper investigates whether Bitcoin can be regarded as a decentralized autonomous organization (DAO), what insights it may offer for the broader DAO ecosystem, and how Bitcoin governance can be improved. First, a quantitative literature analysis reveals that Bitcoin is increasingly overlooked in DAO research, even though early works often classified it as a DAO. Next, the paper applies a DAO viability framework - centering on collective intelligence, digital democracy, and adaptation - to examine Bitcoin's organizational and governance mechanisms. Findings suggest that Bitcoin instantitates key DAO principles by enabling open participation, and employing decentralized decision-making through Bitcoin Improvement Proposals (BIPs), miner signaling, and user-activated soft forks. However, this governance carries potential risks, including reduced clarity on who truly 'votes' due to the concentration of economic power among large stakeholders. The paper concludes by highlighting opportunities to refine Bitcoin's deliberation process and reflecting on broader implications for DAO design, such as the absence of a legal entity. In doing so, it underscores Bitcoin's continued relevance as an archetype for decentralized governance, offering important findings for future DAO implementations.","cs.CY, cs.ET","['cs.CY', 'cs.ET']",2504.20838v1,,,,cs.CY,bitcoin
15,The mathematics of Bitcoin,"Cyril Grunspan, Ricardo Pérez-Marco","['Cyril Grunspan', 'Ricardo Pérez-Marco']",2020-03-02,2020-03-02T07:57:44Z,https://arxiv.org/abs/2003.00001v1,"We survey recent results on the mathematical stability of Bitcoin protocol. Profitability and probability of a double spend are estimated in closed form with classical special functions. The stability of Bitcoin mining rules is analyzed and several theorems are proved using martingale and combinatorics techniques. In particular, the empirical observation of the stability of the Bitcoin protocol is proved.
  This survey article on the mathematics of Bitcoin is published by the Newsletter of the European Mathematical Society, vol.115, 2020, p.31-37. Continuation of arXiv:1601.05254 (EMS Newsletter, 100, 2016 p.32).","math.HO, cs.CR","['math.HO', 'cs.CR']",2003.00001v1,,"7 pages, 4 figures","EMS Newsletter [115 (2020)], [31-37]. \c{opyright} European Mathematical Society",math.HO,bitcoin
16,Bitcoin and its impact on the economy,Merrick Wang,['Merrick Wang'],2020-10-03,2020-10-03T12:28:49Z,https://arxiv.org/abs/2010.01337v1,"The purpose of this paper is to review the concept of cryptocurrencies in our economy. First, Bitcoin and alternative cryptocurrencies' histories are analyzed. We then study the implementation of Bitcoin in the airline and real estate industries. Our study finds that many Bitcoin companies partner with airlines in order to decrease processing times, to provide ease of access for spending in international airports, and to reduce fees on foreign exchanges for fuel expenses, maintenance, and flight operations. Bitcoin transactions have occurred in the real estate industry, but many businesses are concerned with Bitcoin's potential interference with the U.S. government and its high volatility. As Bitcoin's price has been growing rapidly, we assessed Bitcoin's real value; Bitcoin derives value from its scarcity, utility, and public trust. In the conclusion, we discuss Bitcoin's future and conclude that Bitcoin may change from a short-term profit investment to a more steady industry as we identify Bitcoin with the ""greater fool theory"", and as the number of available Bitcoins to be mined dwindles and technology becomes more expensive.",econ.GN,['econ.GN'],2010.01337v1,,,,econ.GN,bitcoin
17,Bitcoin covenants unchained,"Massimo Bartoletti, Stefano Lande, Roberto Zunino","['Massimo Bartoletti', 'Stefano Lande', 'Roberto Zunino']",2020-06-06,2020-06-06T17:04:00Z,https://arxiv.org/abs/2006.03918v2,"Covenants are linguistic primitives that extend the Bitcoin script language, allowing transactions to constrain the scripts of the redeeming ones. Advocated as a way of improving the expressiveness of Bitcoin contracts while preserving the simplicity of the UTXO design, various forms of covenants have been proposed over the years. A common drawback of the existing descriptions is the lack of formalization, making it difficult to reason about properties and supported use cases. In this paper we propose a formal model of covenants, which can be implemented with minor modifications to Bitcoin. We use our model to specify some complex Bitcoin contracts, and we discuss how to exploit covenants to design high-level language primitives for Bitcoin contracts.","cs.PL, cs.CR","['cs.PL', 'cs.CR']",2006.03918v2,,,,cs.PL,bitcoin
18,The economic dependency of the Bitcoin security,"Pavel Ciaian, d'Artis Kancs, Miroslava Rajcaniova","['Pavel Ciaian', ""d'Artis Kancs"", 'Miroslava Rajcaniova']",2021-02-16,2021-02-16T12:36:21Z,https://arxiv.org/abs/2102.08378v1,"We study to what extent the Bitcoin blockchain security permanently depends on the underlying distribution of cryptocurrency market outcomes. We use daily blockchain and Bitcoin data for 2014-2019 and employ the ARDL approach. We test three equilibrium hypotheses: (i) sensitivity of the Bitcoin blockchain to mining reward; (ii) security outcomes of the Bitcoin blockchain and the proof-of-work cost; and (iii) the speed of adjustment of the Bitcoin blockchain security to deviations from the equilibrium path. Our results suggest that the Bitcoin price and mining rewards are intrinsically linked to Bitcoin security outcomes. The Bitcoin blockchain security's dependency on mining costs is geographically differenced - it is more significant for the global mining leader China than for other world regions. After input or output price shocks, the Bitcoin blockchain security reverts to its equilibrium security level.","econ.GN, q-fin.CP, q-fin.PR","['econ.GN', 'q-fin.CP', 'q-fin.PR']",2102.08378v1,,arXiv admin note: substantial text overlap with arXiv:2102.08107,,econ.GN,bitcoin
19,Bitcoin Does Not Hedge Inflation,Mykola Pinchuk,['Mykola Pinchuk'],2023-01-24,2023-01-24T16:34:22Z,https://arxiv.org/abs/2301.10117v1,"This paper examines the response of major cryptocurrencies to macroeconomic news announcements (MNA). While other cryptocurrencies exhibit no reaction to major MNA, Bitcoin responds negatively to inflation surprise. Price of Bitcoin decreases by 24 bps in response to a 1 standard deviation inflationary surprise. This reaction is inconsistent with widely-held beliefs of practitioners that Bitcoin can hedge inflation. I do not find support for the hypothesis that the negative response of Bitcoin to inflation is due to its negative exposure to interest rates. Instead, I find support for the hypothesis that Bitcoin is strongly affected by the shift in consumption-savings decisions, driven by the rise in inflation. Consistent with this view, Bitcoin has negative exposure to a proxy for the consumption-savings ratio.","q-fin.PR, q-fin.GN, q-fin.ST","['q-fin.PR', 'q-fin.GN', 'q-fin.ST']",2301.10117v1,,,,q-fin.PR,bitcoin
20,Bitcoin Inscriptions: Foundations and Beyond,"Ningran Li, Minfeng Qi, Qin Wang, Shiping Chen","['Ningran Li', 'Minfeng Qi', 'Qin Wang', 'Shiping Chen']",2024-01-31,2024-01-31T03:53:35Z,https://arxiv.org/abs/2401.17581v1,"Bitcoin inscription marks a pivotal moment in blockchain technology. This report presents a primary exploration of Bitcoin inscriptions. We dive into the technological underpinnings and offer a detailed comparative analysis between Bitcoin inscriptions and NFTs on other blockchains. Further, we explore a wide range of use cases and significant opportunities for future innovation, including inscription derivative protocols, Bitcoin Layer2 solutions, and interoperability techniques.","cs.CR, cs.DC","['cs.CR', 'cs.DC']",2401.17581v1,,"25 pages, 6 figures, 4 tables",,cs.CR,bitcoin
21,The Price and Cost of Bitcoin,"John E. Marthinsen, Steven R. Gordon","['John E. Marthinsen', 'Steven R. Gordon']",2022-04-27,2022-04-27T17:57:55Z,https://arxiv.org/abs/2204.13102v1,"Explaining changes in bitcoin's price and predicting its future have been the foci of many research studies. In contrast, far less attention has been paid to the relationship between bitcoin's mining costs and its price. One popular notion is the cost of bitcoin creation provides a support level below which this cryptocurrency's price should never fall because if it did, mining would become unprofitable and threaten the maintenance of bitcoin's public ledger. Other research has used mining costs to explain or forecast bitcoin's price movements. Competing econometric analyses have debunked this idea, showing that changes in mining costs follow changes in bitcoin's price rather than preceding them, but the reason for this behavior remains unexplained in these analyses. This research aims to employ economic theory to explain why econometric studies have failed to predict bitcoin prices and why mining costs follow movements in bitcoin prices rather than precede them. We do so by explaining the chain of causality connecting a bitcoin's price to its mining costs.",econ.GN,['econ.GN'],2204.13102v1,10.1016/j.qref.2022.04.003,"18 pages, 3 tables, 5 figures Accepted by the Quarterly Review of Economics and Finance",,econ.GN,bitcoin
22,Algorithmic Authority: The Case of Bitcoin,Caitlin Lustig,['Caitlin Lustig'],2022-01-16,2022-01-16T00:44:33Z,https://arxiv.org/abs/2201.05939v1,"In this paper, I propose a new concept for understanding the role of algorithms in daily life: algorithmic authority. Algorithmic authority is the legitimate power of algorithms to direct human action and to impact which information is considered true. I use this concept to examine the culture of users of Bitcoin, a crypto-currency and payment platform. Through Bitcoin, I explore what it means to trust in algorithmic authority. My study of the Bitcoin community utilizes interview and survey data. I found that Bitcoin users prefer algorithmic authority to the authority of conventional institutions which they see as untrustworthy. However, I argue that Bitcoin users do not have blind faith in algorithms; rather, they acknowledge the need for mediating algorithmic authority with human judgment. I examine the tension between members of the Bitcoin community who would prefer to integrate Bitcoin with existing institutions and those who would prefer to resist integration.",cs.HC,['cs.HC'],2201.05939v1,,"This paper is an extended version of the 2015 Hawaii International Conference on System Sciences paper of the same name, which was written by Caitlin Lustig and Bonnie Nardi",,cs.HC,bitcoin
23,Bitcoin Battle: Burning Bitcoin for Geopolitical Fun and Profit,"Kris Oosthoek, Kelvin Lubbertsen, Georgios Smaragdakis","['Kris Oosthoek', 'Kelvin Lubbertsen', 'Georgios Smaragdakis']",2025-03-17,2025-03-17T10:55:59Z,https://arxiv.org/abs/2503.13052v1,"This study empirically analyzes the transaction activity of Bitcoin addresses linked to Russian intelligence services, which have liquidated over 7 Bitcoin (BTC), i.e., equivalent to approximately US$300,000 based on the exchange rate at the time. Our investigation begins with an observed anomaly in transaction outputs featuring the Bitcoin Script operation code, tied to input addresses identified by cyber threat intelligence sources and court documents as belonging to Russian intelligence agencies. We explore how an unauthorized entity appears to have gained control of the associated private keys, with messages embedded in the outputs confirming the seizure. Tracing the funds' origins, we connect them to cryptocurrency mixers and establish a link to the Russian ransomware group Conti, implicating intelligence service involvement. This analysis represents one of the first empirical studies of large-scale Bitcoin misuse by nation-state cyber actors.",cs.CR,['cs.CR'],2503.13052v1,,To be published in IEEE International Conference on Blockchain and Cryptocurrency 2025,,cs.CR,bitcoin
24,A Survey on Security and Privacy Issues of Bitcoin,"Mauro Conti, Sandeep Kumar E, Chhagan Lal, Sushmita Ruj","['Mauro Conti', 'Sandeep Kumar E', 'Chhagan Lal', 'Sushmita Ruj']",2017-06-03,2017-06-03T09:11:55Z,https://arxiv.org/abs/1706.00916v3,"Bitcoin is a popular cryptocurrency that records alltransactions in a distributed append-only public ledger calledblockchain. The security of Bitcoin heavily relies on the incentive-compatible proof-of-work (PoW) based distributed consensus pro-tocol, which is run by network nodes called miners. In exchangefor the incentive, the miners are expected to honestly maintainthe blockchain. Since its launch in 2009, Bitcoin economy hasgrown at an enormous rate, and it is now worth about 170 billions of dollars. This exponential growth in the market valueof Bitcoin motivates adversaries to exploit weaknesses for profit,and researchers to discover new vulnerabilities in the system,propose countermeasures, and predict upcoming trends.In this paper, we present a systematic survey that covers thesecurity and privacy aspects of Bitcoin. We start by presenting anoverview of the Bitcoin protocol and its major components alongwith their functionality and interactions within the system. Wereview the existing vulnerabilities in Bitcoin and its underlyingmajor technologies such as blockchain and PoW based consensusprotocol. These vulnerabilities lead to the execution of varioussecurity threats to the normal functionality of Bitcoin. Wethen discuss the feasibility and robustness of the state-of-the-art security solutions. Additionally, we present current privacyand anonymity considerations in Bitcoin and discuss the privacy-related threats to Bitcoin users along with the analysis of theexisting privacy-preserving solutions. Finally, we summarize thecritical open challenges and suggest directions for future researchtowards provisioning stringent security and privacy techniquesfor Bitcoin.",cs.CR,['cs.CR'],1706.00916v3,10.1109/COMST.2018.2842460,,,cs.CR,bitcoin
25,Attacking with bitcoin: Using Bitcoin to Build Resilient Botnet Armies,"Dimitri Kamenski, Arash Shaghaghi, Matthew Warren, Salil S. Kanhere","['Dimitri Kamenski', 'Arash Shaghaghi', 'Matthew Warren', 'Salil S. Kanhere']",2020-04-04,2020-04-04T05:11:30Z,https://arxiv.org/abs/2004.01855v2,"We focus on the problem of botnet orchestration and discuss how attackers can leverage decentralised technologies to dynamically control botnets with the goal of having botnets that are resilient against hostile takeovers. We cover critical elements of the Bitcoin blockchain and its usage for `floating command and control servers'. We further discuss how blockchain-based botnets can be built and include a detailed discussion of our implementation. We also showcase how specific Bitcoin APIs can be used in order to write extraneous data to the blockchain. Finally, while in this paper, we use Bitcoin to build our resilient botnet proof of concept, the threat is not limited to Bitcoin blockchain and can be generalized.",cs.CR,['cs.CR'],2004.01855v2,,This is the 2nd version (improved based on reviewers feedback) of the accepted paper at 13th International Conference on Computational Intelligence in Security for Information Systems,,cs.CR,bitcoin
26,Taint analysis of the Bitcoin network,"Uroš Hercog, Andraž Povše","['Uroš Hercog', 'Andraž Povše']",2019-07-02,2019-07-02T17:42:54Z,https://arxiv.org/abs/1907.01538v1,"Determining the trust of an individual Bitcoin wallet is a difficult problem. There are no ratings, that offer vendors or exchanges meaningful information about the level of the taint of Bitcoins they are receiving. Lack of such information places exchanges liable in an event when the received Bitcoins are stolen or ill-gotten. In this paper, we try to solve this problem by introducing a Bitcoin address taint score called TaintRank. It provides insight into a specific wallet by taking the addresses it interacted with throughout history into consideration. This ranking method provides such Bitcoin exchange companies insight with whom they are trading.","cs.CR, cs.SI","['cs.CR', 'cs.SI']",1907.01538v1,,,,cs.CR,bitcoin
27,"Boom, Bust, and Bitcoin: Bitcoin-Bubbles As Innovation Accelerators","Tobias A. Huber, Didier Sornette","['Tobias A. Huber', 'Didier Sornette']",2020-05-13,2020-05-13T10:47:37Z,https://arxiv.org/abs/2005.06464v1,"Bitcoin represents one of the most interesting technological breakthroughs and socio-economic experiments of the last decades. In this paper, we examine the role of speculative bubbles in the process of Bitcoin's technological adoption by analyzing its social dynamics. We trace Bitcoin's genesis and dissect the nature of its techno-economic innovation. In particular, we present an analysis of the techno-economic feedback loops that drive Bitcoin's price and network effects. Based on our analysis of Bitcoin, we test and further refine the Social Bubble Hypothesis, which holds that bubbles constitute an essential component in the process of technological innovation. We argue that a hierarchy of repeating and exponentially increasing series of bubbles and hype cycles, which has occurred over the past decade since its inception, has bootstrapped Bitcoin into existence.",cs.CY,['cs.CY'],2005.06464v1,,,,cs.CY,bitcoin
