rank,title,link,object_id,score,comments,author,created,created_at_i,story_text,comment_text,num_points,story_id,story_title,story_url,parent_id,relevancy_score,termo
11,Sentencing Overhaul Proposed in Senate with Bipartisan Backing,http://www.nytimes.com/2015/10/02/us/politics/senate-plan-to-ease-sentencing-laws.html,10316043,54,12,jegutman,2015-10-02T01:25:43Z,1443749143,,,54,10316043,,,,0,bipa
12,Loot box Senate bill gets bipartisan support,https://www.cnet.com/news/loot-box-senate-bill-gets-bipartisan-support/,19998237,52,14,mfrommil,2019-05-24T03:33:37Z,1558668817,,,52,19998237,,,,0,bipa
13,Trump Defends ZTE Concession After Sparking Bipartisan Rebuke,https://www.bloomberg.com/news/articles/2018-05-14/trump-s-reversal-on-china-s-zte-penalty-sparks-bipartisan-rebuke,17075827,51,43,Ihmahr,2018-05-15T17:35:16Z,1526405716,,,51,17075827,,,,0,bipa
14,House passes bill to codify marriage equality with large bipartisan support,https://www.axios.com/2022/07/19/house-repeal-defense-of-marriage-act,32160362,43,28,samizdis,2022-07-20T01:48:47Z,1658281727,,,43,32160362,,,,0,bipa
15,Bipartisan Bill in Congress Would Dramatically Reform Civil Forfeiture Laws,https://ij.org/press-release/bipartisan-bill-in-congress-would-dramatically-reform-civil-forfeiture-laws/,35175723,43,5,sbuttgereit,2023-03-15T22:42:29Z,1678920149,,,43,35175723,,,,0,bipa
16,Peters and Hawley Introduce Bipartisan Bill to Help Secure Open Source Software,https://www.hsgac.senate.gov/media/majority-media/peters-and-hawley-introduce-bipartisan-bill-to-help-secure-open-source-software/,35302502,40,23,raybb,2023-03-25T13:38:28Z,1679751508,,,40,35302502,,,,0,bipa
17,Group of bipartisan senators pushes for permanent Daylight Saving Time,https://www.cbsnews.com/news/daylight-savings-time-permanent-bill-senate/,26413948,36,8,mancerayder,2021-03-10T17:49:15Z,1615398555,,,36,26413948,,,,0,bipa
18,"Bipartisan group, unveil bill to ban Congress/lawmakers from owning stocks",https://www.cbsnews.com/news/matt-gaetz-alexandria-ocasio-cortez-congress-stock-ban-bill/,35796204,35,15,fairytalemtg,2023-05-03T00:32:40Z,1683073960,,,35,35796204,,,,0,bipa
19,Bipartisan consensus in favor of renewable power is ending,https://arstechnica.com/science/2024/06/support-for-renewable-power-is-plunging-among-republicans/,40845572,28,12,rbanffy,2024-07-01T13:15:27Z,1719839727,,,28,40845572,,,,0,bipa
20,"Bipartisan senators propose stock ownership ban by lawmakers, admin officials",https://thehill.com/homenews/senate/4105939-bipartisan-senators-unveiling-measure-to-ban-stock-ownership-by-lawmakers-administration-officials/,36796153,26,0,lsllc,2023-07-20T02:16:27Z,1689819387,,,26,36796153,,,,0,bipa
21,Bipartisan legislation to mandate healthcare cost transparency passes House,https://www.washingtonexaminer.com/restoring-america/faith-freedom-self-reliance/bipartisan-healthcare-transparency-cost,36741034,25,7,hhs,2023-07-15T21:17:23Z,1689455843,,,25,36741034,,,,0,bipa
22,House passes surveillance bill after rare bipartisan deal,https://www.cnn.com/2020/03/11/politics/fisa-deal-house-vote/index.html,22553376,23,2,psychanarch,2020-03-12T03:19:53Z,1583983193,,,23,22553376,,,,0,bipa
23,TikTok would be banned from US “for good” under bipartisan bill,https://arstechnica.com/tech-policy/2022/12/tiktok-would-be-banned-from-us-for-good-under-bipartisan-bill/,34125738,22,9,nonethewiser,2022-12-25T09:46:51Z,1671961611,,,22,34125738,,,,0,bipa
24,Bipartisan Bill Would Force Automakers to Keep AM Radio in New Cars,https://www.thedrive.com/news/bipartisan-bill-would-force-automakers-to-keep-am-radio-in-new-cars,36005763,20,9,mikece,2023-05-19T19:14:59Z,1684523699,,,20,36005763,,,,0,bipa
25,Mark Zuckerberg: Basic income is a bipartisan idea,https://www.facebook.com/zuck/posts/10103857892105091,14705482,19,24,doener,2017-07-05T19:36:42Z,1499283402,,,19,14705482,,,,0,bipa
26,"The CHIPS Act is popular, bipartisan, and a bad idea",https://www.thebulwark.com/the-chips-act-is-popular-bipartisan-and-a-bad-idea/,32314332,19,12,fortran77,2022-08-02T01:47:42Z,1659404862,,,19,32314332,,,,0,bipa
27,Willful ignorance of science is a bipartisan value,http://www.slate.com/articles/health_and_science/science/2012/11/rubio_and_obama_and_the_age_of_earth_politicians_hedge_about_whether_universe.single.html,4824557,19,4,georgecmu,2012-11-24T04:43:05Z,1353732185,,,19,4824557,,,,0,bipa
28,Bipartisan legislators demand answers from Fauci on 'cruel' puppy experiments,https://thehill.com/changing-america/well-being/medical-advances/578086-bipartisan-legislators-demand-answers-from-fauci,28969684,17,5,rangoon626,2021-10-23T15:58:28Z,1635004708,,,17,28969684,,,,0,bipa
29,Pornhub squarely targeted in bipartisan bill to regulate sex work online,https://arstechnica.com/tech-policy/2020/12/pornhub-squarely-targeted-in-bipartisan-bill-to-regulate-sex-work-online,25500491,15,6,Anon1096,2020-12-21T22:35:11Z,1608590111,,,15,25500491,,,,0,bipa
30,U.S. lawmakers have reintroduced the bipartisan Open App Markets Act,https://www.blackburn.senate.gov/2025/6/technology/blackburn-blumenthal-lee-klobuchar-and-durbin-introduce-bipartisan-antitrust-bill-to-promote-app-store-competition,44393356,15,1,m463,2025-06-27T02:59:06Z,1750993146,,,15,44393356,,,,0,bipa
31,"Tax the Rich Is a Popular Bipartisan Stance, Poll Shows",https://www.bloomberg.com/news/articles/2024-03-26/swing-state-voters-favor-tax-the-rich-movement-election-poll,39825829,14,21,JumpCrisscross,2024-03-26T09:39:03Z,1711445943,,,14,39825829,,,,0,bipa
32,U.S. bill to regulate internet ads gains bipartisan support,https://www.yahoo.com/news/u-bill-regulate-internet-ads-gains-bipartisan-support-194613378--finance.html,15508670,14,3,elsewhen,2017-10-19T15:23:09Z,1508426589,,,14,15508670,,,,0,bipa
33,U.S. lawmakers unveil bipartisan bid to ban China's TikTok,https://www.reuters.com/world/us/us-lawmakers-unveil-bipartisan-bid-ban-chinas-tiktok-2022-12-13/,33976593,14,1,jonaslund,2022-12-13T22:01:42Z,1670968902,,,14,33976593,,,,0,bipa
34,Same-Sex Marriage Bill Passes Senate After Bipartisan Breakthrough,https://www.nytimes.com/2022/11/29/us/politics/same-sex-marriage-bill-senate.html,33795423,14,1,andreyk,2022-11-30T00:44:01Z,1669769041,,,14,33795423,,,,0,bipa
35,Bipartisan bill targets Apple and Google’s ability to profit from app stores,https://www.cnbc.com/2021/08/11/bipartisan-bill-targets-apple-and-googles-ability-to-profit-from-app-stores.html,28145204,14,0,harmmonica,2021-08-11T17:45:20Z,1628703920,,,14,28145204,,,,0,bipa
36,Will the Lab Leak Hypothesis Be a Bipartisan Concern in the Next Congress?,https://leightonwoodhouse.substack.com/p/will-the-lab-leak-hypothesis-be-a,33513987,13,4,8f2ab37a-ed6c,2022-11-07T23:24:28Z,1667863468,,,13,33513987,,,,0,bipa
37,"Trump Attacks Bipartisan Semiconductor Law, a Key Policy Achievement for Biden",https://www.nytimes.com/2024/10/26/us/politics/trump-joe-rogan-chips-science-act.html,41959701,13,2,wumeow,2024-10-27T03:41:56Z,1730000516,,,13,41959701,,,,0,bipa
38,Bipartisan bill denies Section 230 protection for AI,https://www.axios.com/pro/tech-policy/2023/06/14/hawley-blumenthal-bill-section-230-ai,36337554,13,1,pabs3,2023-06-15T07:48:20Z,1686815300,,,13,36337554,,,,0,bipa
39,Bipartisan consensus in favor of renewable power is ending,https://arstechnica.com/science/2024/06/support-for-renewable-power-is-plunging-among-republicans/,40825494,12,8,LinuxBender,2024-06-28T21:30:58Z,1719610258,,,12,40825494,,,,0,bipa
40,Design better software abstractions using bipartite composition (2019),https://cep.dev/posts/design-better-software-abstractions-using-bipartite-composition/,39697808,12,5,dmarto,2024-03-13T21:32:13Z,1710365533,,,12,39697808,,,,0,bipa
41,Bipartisan Bill to Ban Social Media Feed Algorithms,https://www.axios.com/algorithm-bill-house-bipartisan-5293581e-430f-4ea1-8477-bd9adb63519c.html,29160813,11,3,mgrayson,2021-11-09T12:28:56Z,1636460936,,,11,29160813,,,,0,bipa
42,Biden’s Handling of Afghanistan Pullout Draws Bipartisan Criticism,https://www.wsj.com/articles/bidens-handling-of-afghanistan-withdrawal-draws-bipartisan-criticism-11629131375,28202553,11,3,throwawaysea,2021-08-16T20:30:14Z,1629145814,,,11,28202553,,,,0,bipa
43,"Don't Be Fooled by the Bipartisan, 'Paid for' Infrastructure Bill",https://www.realclearmarkets.com/articles/2021/08/09/dont_be_fooled_by_the_bipartisan_paid_for_infrastructure_bill_789069.html,28124143,10,2,cinquemb,2021-08-10T00:57:59Z,1628557079,,,10,28124143,,,,0,bipa
44,Bipartisan Bill to Repeal Section 230 Defended in Facts-Optional Op-Ed,https://www.techdirt.com/2024/05/13/bipartisan-bill-to-repeal-section-230-defended-in-facts-optional-op-ed/,40348493,10,0,hn_acker,2024-05-13T21:12:29Z,1715634749,,,10,40348493,,,,0,bipa
45,The Secret Bipartisan Campaign That Saved the 2020 Election,https://time.com/5936036/secret-2020-election-campaign/,40554330,8,5,Anon84,2024-06-02T14:15:03Z,1717337703,,,8,40554330,,,,0,bipa
46,House passes $78B tax bill in rare bipartisan vote,https://www.politico.com/news/2024/01/31/congress-tax-vote-00138968,39212116,8,2,koolba,2024-02-01T02:17:55Z,1706753875,,,8,39212116,,,,0,bipa
47,Survey shows bipartisan support for stronger consumer protections,https://fairshake.com/consumer-news/survey-analysis-bipartisan-support-consumer-protections/,24969163,8,0,encorekt,2020-11-02T15:33:08Z,1604331188,,,8,24969163,,,,0,bipa
48,A bipartisan group in Congress wants to make it harder for you to do taxes,https://www.vox.com/2019/4/9/18301943/last-minute-tax-preparation-h-r-block-turbotax,19617605,7,1,bluejekyll,2019-04-09T18:28:44Z,1554834524,,,7,19617605,,,,0,bipa
49,Biden helped draft bipartisan bill that could ban TikTok nationwide,https://arstechnica.com/tech-policy/2023/03/biden-helped-draft-bipartisan-bill-that-could-ban-tiktok-nationwide/,35060114,7,0,evo_9,2023-03-07T19:39:28Z,1678217968,,,7,35060114,,,,0,bipa
50,Bipartisan Measure Aims to Force Release of UFO Records,https://www.nytimes.com/2023/07/13/us/politics/ufo-records-schumer.html,36717932,6,4,onlypositive,2023-07-14T00:28:12Z,1689294492,,,6,36717932,,,,0,bipa
51,A Bipartisan Bill That Could End Our Robocall Hell Just Passed the House 429-3,https://gizmodo.com/a-bipartisan-bill-that-could-end-our-robocall-hell-just-1836675610,20532586,6,2,gilad,2019-07-26T05:29:18Z,1564118958,,,6,20532586,,,,0,bipa
52,On Bipartite Graphs,http://blog.commentout.net/post/1234124430/on-bipartite-graphs?,2997681,6,1,karlzt,2011-09-14T20:12:08Z,1316031128,,,6,2997681,,,,0,bipa
53,Warren pushes bipartisan bill to regulate crypto firms after FTX collapse,https://www.theguardian.com/us-news/2022/dec/14/elizabeth-warren-crypto-regulation-bill-ftx,33993669,6,0,jasonhansel,2022-12-15T01:19:54Z,1671067194,,,6,33993669,,,,0,bipa
54,Bipartite Graph,https://www.techiedelight.com/bipartite-graph/,13954401,6,0,coder007,2017-03-25T06:38:39Z,1490423919,,,6,13954401,,,,0,bipa
55,Balcony solar gains unanimous bipartisan support in Utah – pv magazine USA,https://pv-magazine-usa.com/2025/03/05/balcony-solar-gains-unanimous-bipartisan-support-in-utah/,43338181,5,1,bilsbie,2025-03-11T23:21:33Z,1741735293,,,5,43338181,,,,0,bipa
56,Bipartisan Congressional Report on the Jan 6th Attack on the United States,https://www.govinfo.gov/content/pkg/GPO-J6-REPORT/html-submitted/index.html,38888667,5,1,consumer451,2024-01-06T05:20:34Z,1704518434,,,5,38888667,,,,0,bipa
57,[pdf] Solving Maximum Flow Problems on Real World Bipartite Graphs ,http://www.siam.org/proceedings/alenex/2009/alx09_002_negruserin.pdf,565054,5,0,Anon84,2009-04-16T12:50:11Z,1239886211,,,5,565054,,,,0,bipa
58,Senate Advances Crypto Regulation Bill with Bipartisan Support,https://www.nytimes.com/2025/05/19/us/politics/senate-crypto-regulation-bill.html,44040738,5,0,rawgabbit,2025-05-20T12:20:37Z,1747743637,,,5,44040738,,,,0,bipa
59,Design better software abstractions using bipartite composition,https://medium.com/@cep21/design-better-software-abstractions-using-bipartite-composition-c0fad00db780,20062874,5,0,cep222,2019-05-31T17:14:35Z,1559322875,,,5,20062874,,,,0,bipa
60,GunSense DAO – Bipartisan DAO seeking gun control in US,https://gunsense.us/,31590132,4,5,anayar,2022-06-02T01:07:07Z,1654132027,,,4,31590132,,,,0,bipa
61,Bipartisan Proposal Would Ban Stock Trading by Lawmakers,https://www.wsj.com/politics/policy/bipartisan-proposal-would-ban-stock-trading-by-lawmakers-e97c20a3,45070687,4,2,impish9208,2025-08-29T23:51:56Z,1756511516,,,4,45070687,,,,0,bipa
62,"The Chips Act Is Popular, Bipartisan, and a Bad Idea",https://www.thebulwark.com/the-chips-act-is-popular-bipartisan-and-a-bad-idea/,32305145,4,2,cmurf,2022-08-01T12:42:39Z,1659357759,,,4,32305145,,,,0,bipa
63,Bipartisan Backlash Grows Against Domestic Surveillance,http://www.nytimes.com/2013/07/18/us/politics/bipartisan-backlash-grows-against-domestic-surveillance.html?_r=0,6079771,4,1,llambda,2013-07-21T18:44:31Z,1374432271,,,4,6079771,,,,0,bipa
64,Bipartisan Lawmakers Seek to Break Up Giant Health Care Conglomerates,https://www.nytimes.com/2024/12/11/business/warren-hawley-pharmacy-benefit-managers.html,42391148,4,1,strict9,2024-12-11T18:38:09Z,1733942289,,,4,42391148,,,,0,bipa
65,National Internet sales tax bill has bipartisan support,http://www.chicagobusiness.com/article/20111109/NEWS02/111109734/durbin-gains-key-support-for-revitalized-internet-sales-tax-bill,3217270,4,1,anigbrowl,2011-11-09T20:36:25Z,1320870985,,,4,3217270,,,,0,bipa
66,Bipartisan legislators demand answers from Fauci on 'cruel' puppy experiments,https://thehill.com/changing-america/well-being/medical-advances/578086-bipartisan-legislators-demand-answers-from-fauci,28975036,4,1,nickysielicki,2021-10-24T04:42:41Z,1635050561,,,4,28975036,,,,0,bipa
67,Bipartisan Bill to Enable Cell Phone and Wireless Device Unlocking,http://lofgren.house.gov/index.php?option=com_content&view=article&id=797:reps-zoe-lofgren-thomas-massie-anna-eshoo-a-jared-polis-introduce-bipartisan-bill-to-enable-cell-phone-a-wireless-device-unlocking&catid=22:112th-news&Itemid=161,5682388,4,0,shmerl,2013-05-09T19:17:11Z,1368127031,,,4,5682388,,,,0,bipa
68,House to pass bipartisan bill aimed at start-ups,http://money.cnn.com/2012/03/08/smallbusiness/House-startup-bill/index.htm?hpt=hp_t1,3680588,4,0,gxs,2012-03-08T17:17:24Z,1331227044,,,4,3680588,,,,0,bipa
69,U.S. lawmakers unveil bipartisan bid to ban TikTok,https://www.reuters.com/world/us/us-lawmakers-unveil-bipartisan-bid-ban-chinas-tiktok-2022-12-13/,33983742,4,0,gmays,2022-12-14T14:17:12Z,1671027432,,,4,33983742,,,,0,bipa
70,"Bipartisan bill for Big Tech to offer algorithm-free feeds, search results",https://arstechnica.com/tech-policy/2021/11/bill-proposes-algorithm-free-option-on-big-tech-platforms-may-portend-bigger-steps/,29179550,4,0,throwawaysea,2021-11-10T19:43:13Z,1636573393,,,4,29179550,,,,0,bipa
71,President Biden's Bipartisan Infrastructure Deal,https://www.whitehouse.gov/bipartisan-infrastructure-deal/,29133842,4,0,mxschumacher,2021-11-06T21:11:40Z,1636233100,,,4,29133842,,,,0,bipa
72,Tech companies face bipartisan congressional uproar over encryption,https://www.politico.com/news/2019/12/10/tech-companies-bipartisan-congress-encryption-080704,21769964,4,0,msq,2019-12-12T07:27:03Z,1576135623,,,4,21769964,,,,0,bipa
73,Auction Algorithm for Bipartite Matching « Algorithmic Game-Theory/Economics,http://agtb.wordpress.com/2009/07/13/auction-algorithm-for-bipartite-matching/,1421518,4,0,sarosh,2010-06-10T20:27:25Z,1276201645,,,4,1421518,,,,0,bipa
74,Bipartisan consensus in favor of renewable power is ending,https://arstechnica.com/science/2024/06/support-for-renewable-power-is-plunging-among-republicans/,40836577,3,5,pseudolus,2024-06-30T11:22:15Z,1719746535,,,3,40836577,,,,0,bipa
75,TikTok would be banned from US “for good” under bipartisan bill,https://arstechnica.com/tech-policy/2022/12/tiktok-would-be-banned-from-us-for-good-under-bipartisan-bill/,33982004,3,3,Liriel,2022-12-14T10:56:10Z,1671015370,,,3,33982004,,,,0,bipa
76,Bipartisan lawmakers introduce legislation requiring AM radios in new US cars,https://thehill.com/homenews/senate/4010618-bipartisan-lawmakers-introduce-legislation-requiring-am-radios-in-new-cars/,36000548,3,2,throw0101b,2023-05-19T11:42:30Z,1684496550,,,3,36000548,,,,0,bipa
77,Minimum bipartite matching via Riemann optimization,https://ocramz.github.io/posts/2023-12-21-assignment-riemann-opt.html,42600089,3,1,todsacerdoti,2025-01-05T06:08:15Z,1736057295,,,3,42600089,,,,0,bipa
78,House of Representatives Unveils Bipartisan AI Report,https://www.axios.com/pro/tech-policy/2024/12/17/house-unveils-bipartisan-ai-report,42441969,3,1,atlasunshrugged,2024-12-17T15:12:47Z,1734448367,,,3,42441969,,,,0,bipa
79,"Thune, Klobuchar release bipartisan AI bill",https://thehill.com/policy/technology/4311592-thune-klobuchar-release-bipartisan-ai-bill/,38289704,3,1,atlasunshrugged,2023-11-16T14:13:07Z,1700143987,,,3,38289704,,,,0,bipa
80,Bipartisan U.S. bill would end Section 230 immunity for generative AI,https://www.reuters.com/technology/bipartisan-us-bill-would-end-section-230-immunity-generative-ai-2023-06-14/,36333303,3,1,mfiguiere,2023-06-14T21:54:34Z,1686779674,,,3,36333303,,,,0,bipa
81,Senate passes sweeping China competition bill in rare bipartisan vote,https://www.axios.com/senate-china-competition-bipartisan-e2fa3f88-16d4-4d79-bab0-1b9c6a4f2774.html,27442312,3,1,toomuchtodo,2021-06-08T23:16:43Z,1623194203,,,3,27442312,,,,0,bipa
82,Ideas to Curb Surprise Medical Bills Percolate with Rare Bipartisan Push,https://www.healthleadersmedia.com/finance/ideas-curb-surprise-medical-bills-percolate-rare-bipartisan-push,19128283,3,1,arkades,2019-02-10T16:02:01Z,1549814521,,,3,19128283,,,,0,bipa
83,Bipartisan Bill Would Repeal Patriot Act to End Government Spying on Americans,http://www.huffingtonpost.com/2015/03/24/surveillance-state-repeal-act_n_6935632.html?utm_hp_ref=technology,9263249,3,0,CapitalistCartr,2015-03-25T14:44:40Z,1427294680,,,3,9263249,,,,0,bipa
84,“Bipartisan” bill would save Internet providers from utility rules,http://arstechnica.com/business/2015/01/bipartisan-bill-would-save-internet-providers-from-utility-rules/,8881037,3,0,rbanffy,2015-01-13T17:02:56Z,1421168576,,,3,8881037,,,,0,bipa
85,Bipartisan Group of Senators Introduce Bill to Declassify FISA Court Opinions,http://www.wyden.senate.gov/news/press-releases/senators-end-secret-law,5869703,3,0,mindcrime,2013-06-12T18:28:14Z,1371061694,,,3,5869703,,,,0,bipa
86,Legal capture of endangered manta ray sparks bipartisan outrage in Florida,https://www.theguardian.com/us-news/2025/sep/06/manta-ray-capture-florida-wildlife-permits,45151570,3,0,c420,2025-09-06T18:13:20Z,1757182400,,,3,45151570,,,,0,bipa
87,Expanding Child Tax Credit for Good Has Bipartisan Potential,https://news.bloombergtax.com/tax-insights-and-commentary/expanding-child-tax-credit-for-good-has-bipartisan-potential,42441413,3,0,tldrthelaw,2024-12-17T14:05:21Z,1734444321,,,3,42441413,,,,0,bipa
88,Improved algorithm for bipartite matching problem inspired by nervous system,https://scitechdaily.com/nervous-systems-master-matchmaker-sparks-breakthrough-in-computer-science/,41432270,3,0,isaacfrond,2024-09-03T07:30:23Z,1725348623,,,3,41432270,,,,0,bipa
89,Microsoft faces bipartisan criticism for alleged censorship on Bing in China,https://www.theregister.com/2024/03/21/microsoft_bing_china_criticism/,39791953,3,0,LinuxBender,2024-03-22T15:58:07Z,1711123087,,,3,39791953,,,,0,bipa
90,House to pass bipartisan bill aimed at start-ups,http://money.cnn.com/2012/03/08/smallbusiness/House-startup-bill/,3680805,3,0,jbhelms,2012-03-08T18:02:24Z,1331229744,,,3,3680805,,,,0,bipa
91,Musk drops the bipartisan pose – and Republicans cheer,https://www.politico.com/news/2022/12/02/musk-gop-twitter-moves-00071758,33829313,3,0,isaacfrond,2022-12-02T11:49:51Z,1669981791,,,3,33829313,,,,0,bipa
92,Legislators Introduce Bipartisan Digital-Privacy Bill That May Not Be Doomed,https://www.pcmag.com/news/legislators-introduce-bipartisan-digital-privacy-bill-that-may-not-be-doomed,31625911,3,0,pseudolus,2022-06-04T22:53:50Z,1654383230,,,3,31625911,,,,0,bipa
93,Bipartisan effort begins to break Google's advertising monopoly,https://nypost.com/2022/01/31/googles-online-ad-business-would-be-dismantled-under-bill-gaining-bipartisan-support/,30160999,3,0,chasil,2022-02-01T11:02:04Z,1643713324,,,3,30160999,,,,0,bipa
94,Congress Stock-Trading Ban Gains Steam on Rare Bipartisan Unity,https://www.bloomberg.com/news/articles/2022-01-14/congress-stock-trading-ban-gains-steam-with-rare-partisan-unity,29999563,3,0,DocFeind,2022-01-19T20:29:48Z,1642624188,,,3,29999563,,,,0,bipa
95,Bipartisan bill aims to reduce sway of “opaque algorithms” on tech platforms,https://www.axios.com/algorithm-bill-house-bipartisan-5293581e-430f-4ea1-8477-bd9adb63519c.html,29267857,3,0,karlzt,2021-11-18T17:16:11Z,1637255771,,,3,29267857,,,,0,bipa
96,"Bipartisan bill to force Big Tech to offer algorithm-free feeds, search results",https://arstechnica.com/tech-policy/2021/11/bill-proposes-algorithm-free-option-on-big-tech-platforms-may-portend-bigger-steps/,29173296,3,0,XoS-490,2021-11-10T10:53:16Z,1636541596,,,3,29173296,,,,0,bipa
97,Federal Judges Would Face Tougher Stock-Trading Rules Under Bipartisan Bill,https://www.wsj.com/articles/federal-judges-would-face-tougher-stock-trading-rules-under-bipartisan-bill-11635166900,28991760,3,0,JumpCrisscross,2021-10-25T19:04:11Z,1635188651,,,3,28991760,,,,0,bipa
98,App Store Competition Targeted by Bipartisan Senate Bill,https://www.wsj.com/articles/app-store-competition-targeted-by-bipartisan-senate-bill-11628704834,28183048,3,0,goerz,2021-08-14T18:51:30Z,1628967090,,,3,28183048,,,,0,bipa
99,Bipartisan Infrastructure Deal Omits Big Climate Measures,https://www.nytimes.com/2021/06/24/climate/biden-climate-infrastructure.html,28133052,3,0,throwaway894345,2021-08-10T19:23:52Z,1628623432,,,3,28133052,,,,0,bipa
100,Senate passes $1T infrastructure bill after months of intense bipartisan talks,https://www.cnn.com/2021/08/10/politics/bipartisan-plan-infrastructure-vote-congress/index.html,28130681,3,0,fspacef,2021-08-10T16:17:04Z,1628612224,,,3,28130681,,,,0,bipa
