author,rating,title,content,votes,date
Sannttooss,1,App confuso,"Extremante confuso entender algo, comprei cripto o dinheiro fica na primeira parte mas na carteira digital não mostra os ativos, sendo que o saldo nem está lá de vdd, pq o que mostra é o valor que vc investiu.. preciso de ajuda",0,2025-04-05T20:24:02-07:00
Gustavo Terras,5,MB de muito bom,"Simples, fácil e intuitivo, tudo que um app de corretora precisa ser.",0,2025-04-02T11:31:24-07:00
Gustavo Zillig,1,Valor da compra diverge da ordem de execução,"O valor de uma compra de BTC realizada diverge em mais de 3% do valor da execução. Apesar de buscar esclarecimentos do valor final através da ajuda do Mercado Bitcoin, todas as respostas são vagas e pouco objetivas. Não encontrei um meio de esclarecer o motivo de tanta diferença. Risco de prejuízo financeiro.",0,2025-04-02T00:38:01-07:00
Bmgj.91,5,Excelente interfaz e variedade de ativos,"Interfaz intuitiva (10min para me familiarizar com tudo), variedade de ativos e campanhas. Amaria ter a opção de compras programadas diárias para programar e esquecer. Parabéns time MB.",0,2025-03-14T18:10:25-07:00
icsroc,4,Faltam algumas funcionalidades básicas,Falta stop loss e gráficos de trading como na coinbase.,0,2025-03-12T05:47:37-07:00
Biê,5,Simples e prático,"Aplicação sem complicações e que consigo fazer meus investimentos de forma prática, muito top!",0,2025-03-04T16:50:52-07:00
Jheferson cê,1,Não recomendo,"Fiz um depósito para compra a moeda do Trump no lançamento pois até então era a única corretora nacional que tinha. Final das contas não conseguir compra a moeda pois a plataforma só travava e não conseguia realizar a compra. Depois de já ter desistido de fazer a compra, tentei realizar o saque do valor pra minha conta e nunca consigo. Solicito o Saque e depois de um tempo mostra como não concluído!",0,2025-03-02T15:57:14-07:00
CarvalhoGM,1,NÃO TEM SUPORTE,"Atendimento é péssimo, não recomendo, qualquer atendimento é por email, não existe um suporte ágil, funcional! Respondem quando querem, mesmo em caso de roubo ou perda de celular você ficará na mão!",0,2025-02-19T12:02:46-07:00
ojuliocandido,1,Impossível depositar,"Tentei em 3 bancos diferentes e não consegui depositar nada, aparece uma mensagem dizendo que houve problema com quem recebia.",0,2025-02-17T14:25:05-07:00
Wallace santoro,5,Excelente,Excelente,0,2025-02-15T02:56:11-07:00
Jeribuggy,5,Melhorar,Muito bom só não consegui usar o teclado,0,2025-02-14T01:29:27-07:00
Mai sssss,5,Maicon,Os gráficos não mostra certo se está subindo ou descendo e você acaba perdendo muito dinheiro.,0,2025-02-12T12:48:35-07:00
Fillpersonal,1,Não consigo sacar o dinheiro,Sem opção para falar com alguém,0,2025-02-11T11:09:58-07:00
