"autor","autorId","autorUrl","comentario","likes","publicado_em","atualizado_em","canReply","isPublic","totalReplyCount","replyCount","replies","video_id","video_titulo"
"@Orange-724Observations","UCfNJK6lwqlqPLOp78gzDHHA","http://www.youtube.com/@Orange-724Observations","If you luckily took some,take a break and don’t look back at it","0","2025-03-05T00:56:55Z","2025-03-05T00:56:55Z","True","True","0","0","[]","8aYr2ueCFvs","HOW CRYPTOCURRENCY WORKS  💸💶"
"@Pino_solana","UCuFdxAB-aXZRtRv8cA_hN9Q","http://www.youtube.com/@Pino_solana","Check the bio to join PINO on solana 🦖","197","2025-05-22T11:29:01Z","2025-05-22T11:29:01Z","True","True","12","5","[{'autor': '@BullMarketRSVP', 'comentario': 'Best memecoin everrrr🎉❤❤', 'likes': 10, 'publicado_em': '2025-05-22T11:44:43Z'}, {'autor': '@abdelhakimouaoua2402', 'comentario': 'LFG!', 'likes': 1, 'publicado_em': '2025-05-22T11:49:33Z'}, {'autor': '@leelee4402', 'comentario': 'SETAN🤪', 'likes': 0, 'publicado_em': '2025-05-26T12:06:59Z'}, {'autor': '@panji9', 'comentario': 'Loh fillmnya jadi bolak balik???🤔🤔👎👎', 'likes': 3, 'publicado_em': '2025-09-06T09:41:11Z'}, {'autor': '@yosserojas3576', 'comentario': '❤❤❤❤', 'likes': 0, 'publicado_em': '2025-09-24T19:48:04Z'}]","trVmDXMaj-M","Non-profitable Trader.😂😭 #memecoin #crypto #bitcoin #meme #pino #solana #trading #business #money"
"@AnnabellWahinya","UCUAelqapzbpkzJxUlsR9rZw","http://www.youtube.com/@AnnabellWahinya","The photo wall 😢","117","2025-06-10T17:29:56Z","2025-06-10T17:29:56Z","True","True","0","0","[]","trVmDXMaj-M","Non-profitable Trader.😂😭 #memecoin #crypto #bitcoin #meme #pino #solana #trading #business #money"
"@kocuytea8995","UCmw84TDnYaKF1UCEf_72NQA","http://www.youtube.com/@kocuytea8995","Kerja dan kerja pulang capek cuma numpang istirahat tidur, dan istri menikmati hasil nya bersama pria lain... Hahahaha kocak","63","2025-05-16T07:32:57Z","2025-05-16T07:32:57Z","True","True","4","4","[{'autor': '@FernandoSánchez-g9q', 'comentario': 'Sadly, this is the reality.', 'likes': 4, 'publicado_em': '2025-05-19T05:02:45Z'}, {'autor': '@Toptop0889', 'comentario': 'Это удел людей, которые живут неосознанно. Есть и осознанные. Есть средние. Нужно тренироваться. Ежедневно вечером создайте себе ритуал, например сидеть на лавочке под деревом и слушать птиц или смотреть куда-нибудь и выбрасывать все из головы. Один на один с собой и никого больше.', 'likes': 2, 'publicado_em': '2025-07-07T20:07:10Z'}, {'autor': '@УейдУилсон-ш1ж', 'comentario': 'Такова жизнь ничего не поделаешь', 'likes': 1, 'publicado_em': '2025-07-22T18:39:17Z'}, {'autor': '@ainursafin1068', 'comentario': 'У беды одно начало : сидела женщина скучала 😊', 'likes': 0, 'publicado_em': '2025-08-01T09:14:26Z'}]","trVmDXMaj-M","Non-profitable Trader.😂😭 #memecoin #crypto #bitcoin #meme #pino #solana #trading #business #money"
"@ugur.qarayevugur.qarayev","UCQFPcmfpjYIlirP_vWknvHA","http://www.youtube.com/@ugur.qarayevugur.qarayev","Я три раза пересмотрела😂","22","2025-05-20T21:15:38Z","2025-05-20T21:15:38Z","True","True","2","2","[{'autor': '@ИгорьИванов-ж5о', 'comentario': 'Неудивительно, классика любой русской девушки', 'likes': 1, 'publicado_em': '2025-06-22T11:56:09Z'}, {'autor': '@ugur.qarayevugur.qarayev', 'comentario': '\u200b@ИгорьИванов-ж5оно я не русская я азербайджанка 🇦🇿😂❤', 'likes': 0, 'publicado_em': '2025-07-16T17:37:09Z'}]","trVmDXMaj-M","Non-profitable Trader.😂😭 #memecoin #crypto #bitcoin #meme #pino #solana #trading #business #money"
"@CrystalGc-g7x","UC7nZK75Yp9Hnm38o69B7UCA","http://www.youtube.com/@CrystalGc-g7x","It took the girl 1 day to just swipe","16","2025-05-14T16:57:57Z","2025-05-14T16:57:57Z","True","True","0","0","[]","trVmDXMaj-M","Non-profitable Trader.😂😭 #memecoin #crypto #bitcoin #meme #pino #solana #trading #business #money"
"@RudyGonzalez-x3t","UCPuHq7PkKN5rbZLa0hFh8vg","http://www.youtube.com/@RudyGonzalez-x3t","is actually crazy🤣😢😪😭🙏","14","2025-10-10T02:32:18Z","2025-10-10T02:32:18Z","True","True","0","0","[]","trVmDXMaj-M","Non-profitable Trader.😂😭 #memecoin #crypto #bitcoin #meme #pino #solana #trading #business #money"
"@ThiHuyenTruong-j3i","UC1ao0Vl6f2LP040GBPCLyhg","http://www.youtube.com/@ThiHuyenTruong-j3i","anh kia đang ở dứy gầm giường đó 😂😂😂😂😂😂","12","2025-06-09T17:51:39Z","2025-06-09T17:51:39Z","True","True","0","0","[]","trVmDXMaj-M","Non-profitable Trader.😂😭 #memecoin #crypto #bitcoin #meme #pino #solana #trading #business #money"
"@MariaLobato-r1i","UCJLdWSpYeO6X_Tv44SzrWbQ","http://www.youtube.com/@MariaLobato-r1i","This became infinite😅","12","2025-05-15T15:21:43Z","2025-05-15T15:22:01Z","True","True","0","0","[]","trVmDXMaj-M","Non-profitable Trader.😂😭 #memecoin #crypto #bitcoin #meme #pino #solana #trading #business #money"
"@ari-jo9yw","UCUmCeAeGiF9_JCLLco_3aOw","http://www.youtube.com/@ari-jo9yw","That alarm gave me anxiety","10","2025-11-30T12:31:47Z","2025-11-30T12:31:47Z","True","True","0","0","[]","trVmDXMaj-M","Non-profitable Trader.😂😭 #memecoin #crypto #bitcoin #meme #pino #solana #trading #business #money"
"@Rasha_011","UCnl1ezOUKzzjIvVC3wu4lAQ","http://www.youtube.com/@Rasha_011","I'm replying infinity time 😂","9","2025-05-17T17:25:58Z","2025-05-17T17:25:58Z","True","True","0","0","[]","trVmDXMaj-M","Non-profitable Trader.😂😭 #memecoin #crypto #bitcoin #meme #pino #solana #trading #business #money"
"@MirianCruz-v6k","UCE2EXcM2e2_JUXYJ7sv7cDg","http://www.youtube.com/@MirianCruz-v6k","This Is a infiniti video 😂😂","9","2025-05-14T02:05:37Z","2025-05-14T02:05:37Z","True","True","1","1","[{'autor': '@BernabeMoura', 'comentario': 'Não quero coisa do cara coitado do cara❤ não quero coisa do cara coitado do cara coitadinho', 'likes': 0, 'publicado_em': '2025-05-14T20:33:48Z'}]","trVmDXMaj-M","Non-profitable Trader.😂😭 #memecoin #crypto #bitcoin #meme #pino #solana #trading #business #money"
"@sabbirahmod9833","UCvvcG9THRHJEWN7_7-T6p0g","http://www.youtube.com/@sabbirahmod9833","Bhai sahab khate niche to local","7","2025-05-13T10:40:56Z","2025-05-13T10:40:56Z","True","True","0","0","[]","trVmDXMaj-M","Non-profitable Trader.😂😭 #memecoin #crypto #bitcoin #meme #pino #solana #trading #business #money"
"@Revyver","UCAdi0_EcqJhD_9GDutQCSQQ","http://www.youtube.com/@Revyver","Pino the king 😂","7","2025-05-15T10:15:18Z","2025-05-15T10:15:18Z","True","True","1","1","[{'autor': '@FarxiyoXasan-pj3mq', 'comentario': 'Qkkkk😮😮😮😮😮q😮😮😮😅😅😅😅😅😅😅', 'likes': 0, 'publicado_em': '2025-11-08T14:38:47Z'}]","trVmDXMaj-M","Non-profitable Trader.😂😭 #memecoin #crypto #bitcoin #meme #pino #solana #trading #business #money"
"@Willeydelavega","UCJWJ-z8FmmDkmWKDCgmNbAw","http://www.youtube.com/@Willeydelavega","Pinoo😂😂😂😂","5","2025-05-09T11:07:37Z","2025-05-09T11:07:37Z","True","True","0","0","[]","trVmDXMaj-M","Non-profitable Trader.😂😭 #memecoin #crypto #bitcoin #meme #pino #solana #trading #business #money"
"@itzME-TAMIM","UC8k19ktr89JL9mraxwZooZg","http://www.youtube.com/@itzME-TAMIM","I watch it 10 time😂😂😂","4","2025-05-29T10:13:34Z","2025-05-29T10:13:34Z","True","True","0","0","[]","trVmDXMaj-M","Non-profitable Trader.😂😭 #memecoin #crypto #bitcoin #meme #pino #solana #trading #business #money"
"@Muhamadnastain-q2w","UCJSecEVMrJrjjhuER1WIPIg","http://www.youtube.com/@Muhamadnastain-q2w","Seharian di sinii😢","4","2025-05-19T10:39:11Z","2025-05-19T10:39:11Z","True","True","1","1","[{'autor': '@fathorrosid3089', 'comentario': 'Gw nyasar bang', 'likes': 1, 'publicado_em': '2025-05-25T04:26:36Z'}]","trVmDXMaj-M","Non-profitable Trader.😂😭 #memecoin #crypto #bitcoin #meme #pino #solana #trading #business #money"
"@DiệpPhạm-h4r","UCypiUHlYfaZCEn0Y2E4s2IA","http://www.youtube.com/@Di%E1%BB%87pPh%E1%BA%A1m-h4r","Vòng lặp tgian à😂","3","2025-05-19T01:32:23Z","2025-05-19T01:32:23Z","True","True","0","0","[]","trVmDXMaj-M","Non-profitable Trader.😂😭 #memecoin #crypto #bitcoin #meme #pino #solana #trading #business #money"
"@RafaelFernandez-r2f","UCdhrT1Kelg4VUTLwcfiOsIQ","http://www.youtube.com/@RafaelFernandez-r2f","😮😮","3","2025-05-17T16:37:04Z","2025-05-17T16:37:04Z","True","True","0","0","[]","trVmDXMaj-M","Non-profitable Trader.😂😭 #memecoin #crypto #bitcoin #meme #pino #solana #trading #business #money"
"@sarannyamdorj8425","UCtXRgp6gnLcWM9-SBpX9UsQ","http://www.youtube.com/@sarannyamdorj8425","😂😂😂😂😂😂😂😂😂😂😂😂😂","2","2025-05-18T06:18:26Z","2025-05-18T06:18:26Z","True","True","0","0","[]","trVmDXMaj-M","Non-profitable Trader.😂😭 #memecoin #crypto #bitcoin #meme #pino #solana #trading #business #money"
"@NarsarBayarsaihan","UCQVOBnS_-MWp_emPtzY-fWA","http://www.youtube.com/@NarsarBayarsaihan","😨😨😨","1","2025-12-01T07:35:10Z","2025-12-01T07:35:10Z","True","True","0","0","[]","trVmDXMaj-M","Non-profitable Trader.😂😭 #memecoin #crypto #bitcoin #meme #pino #solana #trading #business #money"
"@Trailer_Tashkent_uz","UCsUuASugEK2wqCp99-3M8oQ","http://www.youtube.com/@Trailer_Tashkent_uz","Now its 60k bro lost 10k😢

Yes guys now its again 70k 😂🤑

10k 👀","10079","2024-04-18T17:01:09Z","2024-12-13T21:35:43Z","True","True","55","5","[{'autor': '@serialkiller288', 'comentario': 'Youre right\u200b@DingusBongo', 'likes': 0, 'publicado_em': '2024-04-22T11:12:54Z'}, {'autor': '@shaqwiththecombo', 'comentario': ""If he's smart, he would've already been in at 15k to 20k"", 'likes': 55, 'publicado_em': '2024-04-22T21:33:28Z'}, {'autor': '@KurosakiSaito0', 'comentario': '\u200b@DingusBongomaybe, but it will take you several months to a year or more to reach that again', 'likes': 14, 'publicado_em': '2024-04-27T13:07:35Z'}, {'autor': '@DingusBongo', 'comentario': '@KurosakiSaito0 Yeah, Is it smart to Buy Bitcoin Right Now And wait For like 10 years ? Cuz The Bitcoin amount is still the same right ?', 'likes': 5, 'publicado_em': '2024-04-27T14:35:50Z'}, {'autor': '@KurosakiSaito0', 'comentario': ""@DingusBongo if you hold long term, i think it's good, but 10 years is a long time for currency and coin, so i don't think you should hold that much, and if you want to maximize profits, you can wait to btc fall down to 55-60k or 52-54k, that my plan."", 'likes': 0, 'publicado_em': '2024-04-27T15:30:28Z'}]","GztiW6DOhck","Coming in for a landing 🚀 #binance  #bitcoin  #trading  #crypto   #cryptomemes"
"@autotattema","UC19szAghW_MYHRzOI0ksRwg","http://www.youtube.com/@autotattema","buy bitcoin in 2009 for 5 cents: NO
buy bitcoin in 2024 for 71k dollars: YES","7266","2024-05-25T19:30:38Z","2024-05-25T19:30:38Z","True","True","59","5","[{'autor': '@screem_mix', 'comentario': '5$*', 'likes': 54, 'publicado_em': '2024-05-30T15:50:56Z'}, {'autor': '@SanekHacker', 'comentario': 'Гений.\nА как он по-твоему рос всё это время?\nМожет потому что его покупали?', 'likes': 51, 'publicado_em': '2024-05-31T19:56:21Z'}, {'autor': '@MarcoM99', 'comentario': 'I dont want to buy for 500k in 2032 so better now', 'likes': 27, 'publicado_em': '2024-06-02T21:04:05Z'}, {'autor': '@crazygramaffects9793', 'comentario': '@redwar1 А кто-то был ребёнком еще в это время, да и в те времена вообще интернет даже был не у всех нормальный )', 'likes': 18, 'publicado_em': '2024-06-03T08:26:31Z'}, {'autor': '@Nebesite1', 'comentario': '\u200b@SanekHackerзабей,иностранцы глупые', 'likes': 0, 'publicado_em': '2024-06-04T15:01:54Z'}]","GztiW6DOhck","Coming in for a landing 🚀 #binance  #bitcoin  #trading  #crypto   #cryptomemes"
"@teng8971","UCc4mW6fLXL2bO9R_dSC6I-w","http://www.youtube.com/@teng8971","Its 56k now 😂","632","2024-05-01T08:29:36Z","2024-05-01T08:29:36Z","True","True","16","5","[{'autor': '@karlzie', 'comentario': 'in 1 year 156 k you will see ;)', 'likes': 15, 'publicado_em': '2024-05-02T00:04:52Z'}, {'autor': '@trueway3', 'comentario': ""In one year will be insha'Allah 85k"", 'likes': 1, 'publicado_em': '2024-05-03T15:04:32Z'}, {'autor': '@GodNuVo', 'comentario': ""Bitcoin hater always here when it's dipping lol"", 'likes': 1, 'publicado_em': '2024-05-04T08:00:25Z'}, {'autor': '@stevendaveshwar9802', 'comentario': 'It’s $70k now', 'likes': 1, 'publicado_em': '2024-05-23T00:44:38Z'}, {'autor': '@GodNuVo', 'comentario': 'Hope you sold at exact bottom lol', 'likes': 0, 'publicado_em': '2024-05-23T01:22:13Z'}]","GztiW6DOhck","Coming in for a landing 🚀 #binance  #bitcoin  #trading  #crypto   #cryptomemes"
"@Indi19282","UCOBjihQ8bLAkWECzPSrbcpA","http://www.youtube.com/@Indi19282","Having it from 29k 😂😂 sold at 69k bro feels like a heavan ☠️","416","2024-05-08T09:56:14Z","2024-05-08T09:56:14Z","True","True","13","5","[{'autor': '@bithinsarkar4087', 'comentario': ""240% profit Within 7 month. It's huge return. But I don’t think it’s wise to dive now."", 'likes': 3, 'publicado_em': '2024-05-15T21:06:27Z'}, {'autor': '@ashutoshsharma2222', 'comentario': ""20 dollars investment ain't much"", 'likes': 4, 'publicado_em': '2024-05-16T16:21:39Z'}, {'autor': '@Indi19282', 'comentario': ""@ashutoshsharma2222hmm brro btw not flexing but my today's portfolio's 3.5% Gain is 1.9L seriously not flexing that's about Indian market bro for your information,  20 dollars to muje stake aiss ho bonus me de deta hai okk bro 20 to 20 khus reh ye sochke koi to khus hai."", 'likes': 0, 'publicado_em': '2024-05-16T16:52:48Z'}, {'autor': '@Mus-zb3jy', 'comentario': 'Same', 'likes': 1, 'publicado_em': '2024-05-27T14:54:17Z'}, {'autor': '@Indi19282', 'comentario': '@ashutoshsharma2222 for your information bro just saying my 0.5 % return in more than that, lil Gigga get a job', 'likes': 0, 'publicado_em': '2024-05-28T01:34:42Z'}]","GztiW6DOhck","Coming in for a landing 🚀 #binance  #bitcoin  #trading  #crypto   #cryptomemes"
"@Hehe.khikhi","UC8bZOFR-5ZVDW6bAwM3h5rQ","http://www.youtube.com/@Hehe.khikhi","Now 103k$😂😂😂😂😂","174","2024-12-05T16:59:18Z","2024-12-05T16:59:18Z","True","True","34","5","[{'autor': '@efootball-q5h4y', 'comentario': 'Now 95k\u200b@Rstsws', 'likes': 0, 'publicado_em': '2025-05-05T16:23:59Z'}, {'autor': '@mehdit8584', 'comentario': 'Its went back up to 103k today 😂😂😂  after that massive dump lmao', 'likes': 1, 'publicado_em': '2025-05-10T05:44:14Z'}, {'autor': '@pcgaming6597', 'comentario': ""\u200b@mehdit8584 Wow that's what inam thinking"", 'likes': 0, 'publicado_em': '2025-05-10T19:55:46Z'}, {'autor': '@Badass-Elon-kumar2624', 'comentario': 'Again 😂😂', 'likes': 0, 'publicado_em': '2025-05-16T03:46:30Z'}, {'autor': '@Analytics_Com', 'comentario': 'Now 107 k', 'likes': 0, 'publicado_em': '2025-05-20T23:35:07Z'}]","GztiW6DOhck","Coming in for a landing 🚀 #binance  #bitcoin  #trading  #crypto   #cryptomemes"
"@helloworld900-b8p","UCKC1L_borI8b-O5ApQis-IQ","http://www.youtube.com/@helloworld900-b8p","The person who bought 10k bitcoin in 2009💀📈","142","2024-06-02T17:52:57Z","2024-06-02T17:52:57Z","True","True","5","5","[{'autor': '@notbonni', 'comentario': 'The person who bought it for bare spare 😅', 'likes': 6, 'publicado_em': '2024-06-13T19:17:14Z'}, {'autor': '@Majnter_YT', 'comentario': '\u200b@notbonni😂😂😂💀👤', 'likes': 1, 'publicado_em': '2024-06-17T00:23:28Z'}, {'autor': '@simohma6341', 'comentario': 'And forget email password 😢😂', 'likes': 5, 'publicado_em': '2024-06-27T19:08:56Z'}, {'autor': '@helloworld900-b8p', 'comentario': 'No he throw it to trash💀\nTrue story\u200b@simohma6341', 'likes': 0, 'publicado_em': '2024-10-23T08:17:58Z'}, {'autor': '@edussantoz9034', 'comentario': 'I had one hole btc in 2010 sell it when got a 50% gain, kkkkk wasted the money now i fell stupid as a rock 🤡', 'likes': 1, 'publicado_em': '2024-12-18T21:59:05Z'}]","GztiW6DOhck","Coming in for a landing 🚀 #binance  #bitcoin  #trading  #crypto   #cryptomemes"
"@4nikers","UCRZt6TR1yhwRrn821E4h0OA","http://www.youtube.com/@4nikers","а потом продал за 8к","99","2024-06-04T12:44:08Z","2024-06-04T12:44:08Z","True","True","4","4","[{'autor': '@stapp1hxShorts', 'comentario': 'Xd', 'likes': 2, 'publicado_em': '2024-06-13T21:23:16Z'}, {'autor': '@nekitmex2341', 'comentario': '52', 'likes': 0, 'publicado_em': '2024-06-23T10:39:43Z'}, {'autor': '@ONLYBLACKCROSS', 'comentario': 'Фиксируем прибыль', 'likes': 0, 'publicado_em': '2024-07-22T22:06:21Z'}, {'autor': '@Шут-ш3х', 'comentario': 'Они охренели это мем из России', 'likes': 0, 'publicado_em': '2024-07-27T14:15:00Z'}]","GztiW6DOhck","Coming in for a landing 🚀 #binance  #bitcoin  #trading  #crypto   #cryptomemes"
"@gadekarshiva","UC3Et46veo_T3V3n8vs8Y9oQ","http://www.youtube.com/@gadekarshiva","Love from India 🇮🇳 ❤","87","2024-05-25T03:32:53Z","2024-05-25T03:32:53Z","True","True","1","1","[{'autor': '@nayerkridisgame', 'comentario': 'No way is you lm big fans', 'likes': 1, 'publicado_em': '2024-06-15T19:10:52Z'}]","GztiW6DOhck","Coming in for a landing 🚀 #binance  #bitcoin  #trading  #crypto   #cryptomemes"
"@Reckzo-editz","UCiGGSdZ60kzbZw9G39jkksQ","http://www.youtube.com/@Reckzo-editz","I'm from 2050 and it's 2 million now 😂","65","2024-12-03T16:00:36Z","2024-12-03T16:00:36Z","True","True","5","5","[{'autor': '@brock0', 'comentario': 'perfect', 'likes': 0, 'publicado_em': '2024-12-11T08:02:32Z'}, {'autor': '@notlogic.the.second', 'comentario': 'not really. it will crash in some time', 'likes': 1, 'publicado_em': '2024-12-15T15:34:51Z'}, {'autor': '@zadriz', 'comentario': 'Only 2M in 2050? :/', 'likes': 0, 'publicado_em': '2024-12-15T23:14:02Z'}, {'autor': '@King_4_Ever', 'comentario': '2030 1 million', 'likes': 0, 'publicado_em': '2025-05-24T16:01:45Z'}, {'autor': '@skbalotiya3925', 'comentario': 'This is a valid price target according to market capital growth of btc', 'likes': 1, 'publicado_em': '2025-11-05T04:06:06Z'}]","GztiW6DOhck","Coming in for a landing 🚀 #binance  #bitcoin  #trading  #crypto   #cryptomemes"
