rank,titulo,autores,autores_lista,ano,link,resumo,citacoes,referencias,venue,fields_of_study,publication_types,publication_date,journal,paper_id,external_ids,is_open_access,open_access_pdf,termo,tentativa
11,"ESPOROTRICOSE, O GATO E A COMUNIDADE","J. Gonçalves, Isabella Dib Ferreira Gremião, G. Kolling, A. Duval, P. M. T. Ribeiro","['J. Gonçalves', 'Isabella Dib Ferreira Gremião', 'G. Kolling', 'A. Duval', 'P. M. T. Ribeiro']",2019,https://www.semanticscholar.org/paper/24a77c1bdb458766f00807e55ebb9a2d1e6f72db,"Dermatozoonoses have a worldwide occurrence, being more prevalent in tropical and subtropical countries. Epidemiological data indicate that sporotrichosis is the most common subcutaneous mycosis in Latin America. Its importance for public health as an emerging disease is mainly associated with cases involving zoonotic 
transmission by domestic felines in Brazil. The disease is caused by species of the genus Sporothrix, being the one of greater occurrence in Brazil, Sporothrix brasiliensis. The most common clinical picture in mammals is acute or chronic, with the presence of cutaneous lesions and, in humans, it has a social impact during its 
active phase with an unpleasant appearance causing discomfort to the affected person. The disease has a cure, however the treatment of this mycosis, in general, is related to the prolonged use of systemic antifungals. The treatment of cats with sporotrichosis is a challenge due to several factors, among them occurrence of therapeutic failures, besides the high cost. Sporotrichosis presents with importance in the environmental health theme, with emphasis in the context of the sociocultural aspects of the disease, which can be observed mainly in hot and humid places, with high population density, poor sanitary conditions or lack of responsible custody of dogs and cats.",6,0,Enciclopédia Biosfera,Medicine,None,2019-06-30,Enciclopédia Biosfera,24a77c1bdb458766f00807e55ebb9a2d1e6f72db,"{""MAG"": ""2955971666"", ""DOI"": ""10.18677/ENCIBIO_2019A62"", ""CorpusId"": 198632087}",True,https://doi.org/10.18677/encibio_2019a62,gato,1
12,"Multidisciplinary approach to a study of water and bottom sediment quality of streams associated with mixed land uses: Case study Del Gato Stream, La Plata (Argentina)","F. Rimoldi, L. Peluso, G. Rossini, A. Ronco, P. Demetrio","['F. Rimoldi', 'L. Peluso', 'G. Rossini', 'A. Ronco', 'P. Demetrio']",2018,https://www.semanticscholar.org/paper/e12165062eda9e661ef75a05c2b1ff457c96dd29,,12,81,Ecological Indicators,Environmental Science,None,2018-06-01,Ecological Indicators,e12165062eda9e661ef75a05c2b1ff457c96dd29,"{""MAG"": ""2789619039"", ""DOI"": ""10.1016/J.ECOLIND.2018.01.063"", ""CorpusId"": 89839116}",True,http://digital.cic.gba.gob.ar/bitstreams/65825cd7-98e6-4d96-a735-56f2f47c4638/download,gato,1
13,"Primeros registros documentados del gato onza Leopardus pardalis (Carnivora: Felidae) en la provincia de Corrientes, Argentina","M. L. Chatellenaz, María G. Villordo, José L. Anchetti, Marcelo Rolón","['M. L. Chatellenaz', 'María G. Villordo', 'José L. Anchetti', 'Marcelo Rolón']",2018,https://www.semanticscholar.org/paper/dc5a494d03eeb1f8462abfc2f02b73d4f2dc64df,"ä Ref. bibliográfica: Chatellenaz, M. L., Villordo M. G., Anchetti, J. L. y Rolón, M. (2018). Primeros registros documentados del gato onza Leopardus pardalis (Carnivora: Felidae) en la provincia de Corrientes, Argentina. Acta zoológica lil loana 61 (2): 28-35. ä Recibido: 03/06/16 – Aceptado: 07/02/18 ä URL de la revista: http://actazoologica.lil lo.org.ar ä Algunos derechos reservados. Esta obra está bajo una Licencia Creative Commons Atribución – No Comercial – Sin Obra Derivada 4.0 Internacional. First documented records of the Ocelot Leopardus pardalis (Carnivora: Felidae) from the Corrientes province, Argentina",5,41,Acta Zoológica Lilloana,Geography,None,2018-06-18,Acta Zoológica Lilloana,dc5a494d03eeb1f8462abfc2f02b73d4f2dc64df,"{""MAG"": ""2808743892"", ""DOI"": ""10.30550/J.AZL/2018.62.1/3"", ""CorpusId"": 165965559}",True,http://www.lillo.org.ar/journals/index.php/acta-zoologica-lilloana/article/view/v62n1a03/46,gato,1
14,Duplicidade da veia renal direita em gato-do-mato-pequeno (Leopardus guttulus): relato de caso,"Anieli Vidal Stocco, Stephanie Cardoso da Silva, Karen dos Santos Toledo, Carlos Augusto Santos-Sousa, R. B. Carvalho, M. Abidu-Figueiredo","['Anieli Vidal Stocco', 'Stephanie Cardoso da Silva', 'Karen dos Santos Toledo', 'Carlos Augusto Santos-Sousa', 'R. B. Carvalho', 'M. Abidu-Figueiredo']",2018,https://www.semanticscholar.org/paper/66eb9b9a448c5c7863145a8871cc458d7110fff4,"O gato-do-mato-pequeno pertence ao genero Leopardus, que possui distribuicao desde o sul dos Estados Unidos ate o Chile. A reducao e fragmentacao de habitats de felinos ocasionaram a vulnerabilidade da especie em estudo, segundo a Lista Vermelha de Especies Ameacadas. As veias renais direita e esquerda drenam seu conteudo para a veia cava caudal. Variacoes anatomicas nas veias renais foram relatadas em varias especies, como o cao, gato domestico e humano. O objetivo deste artigo e relatar o aparecimento de variacao numerica nas veias renais em Leopardus guttulus, com enfoque nas possibilidades de implicacoes clinico-cirurgicas como anastomoses cirurgicas, estudos imaginologicos, nefrectomias e planejamento pre-operatorio para reducao de riscos e complicacoes, como hemorragia. O animal foi devidamente formolizado no Laboratorio de Ensino e Pesquisa em Morfologia de Animais Domesticos e Selvagens, posteriormente injetado latex colorido e dissecado. Foi observada variacao numerica na veia renal no rim direito de um macho. Observou-se no rim esquerdo apenas uma veia renal medindo 0,98 cm de comprimento. O rim direito apresentou duas veias renais, sendo a primeira a fusao de duas veias interlobares em uma veia renal crânio-dorsal com 0,95 cm de comprimento e a segunda apresentando 0,98 cm de comprimento.",5,0,,Biology,None,2018-01-25,,66eb9b9a448c5c7863145a8871cc458d7110fff4,"{""MAG"": ""2792708485"", ""DOI"": ""10.7213/ACADEMICA.16.2018.01"", ""CorpusId"": 90735723}",True,https://doi.org/10.7213/academica.16.2018.01,gato,1
15,Look at the gato! Code-switching in speech to toddlers.,"A. Bail, G. Morini, R. Newman","['A. Bail', 'G. Morini', 'R. Newman']",2015,https://www.semanticscholar.org/paper/719fee9ec4238acbcda4eb1ef79273963191d057,,48,38,Journal of Child Language,"Psychology, Medicine",JournalArticle,2015-09-01,Journal of child language,719fee9ec4238acbcda4eb1ef79273963191d057,"{""MAG"": ""2030195211"", ""DOI"": ""10.1017/S0305000914000695"", ""CorpusId"": 206276382, ""PubMed"": ""25362846""}",False,,gato,1
16,El Gato y la Caja - About Us,El Gato y la Caja Team,['El Gato y la Caja Team'],2020,https://www.semanticscholar.org/paper/e9e22ae0be003c6d1a82bb2cddef9b377a30efef,,0,0,,None,None,,"Journal of Science, Humanities and Arts - JOSHA",e9e22ae0be003c6d1a82bb2cddef9b377a30efef,"{""MAG"": ""3007469770"", ""DOI"": ""10.17160/josha.7.1.636"", ""CorpusId"": 213948455}",True,https://doi.org/10.17160/josha.7.1.636,gato,1
17,Predation impacts by a single feral cat in a cuban rural farm / Impacto por depredación de un solo gato feral en una granja rural cubana,"Rafael Borroto-Páez, D. Pérez","['Rafael Borroto-Páez', 'D. Pérez']",2018,https://www.semanticscholar.org/paper/c62784b06ef6ff9e827ee75357cdeb17a47b4094,,4,7,,Geography,None,2018-06-30,,c62784b06ef6ff9e827ee75357cdeb17a47b4094,"{""MAG"": ""2953772148"", ""CorpusId"": 198405634}",False,,gato,1
18,"ANÁLISE CITOLÓGICA PARA DIAGNÓSTICO DE LEISHMANIOSE EM UM GATO OLIGOSSINTOMÁTICO EM ÁREA ENDÊMICA, CAMPO GRANDE, MS, BRASIL","Camila Maria Andrade dos Santos, Ana Lúcia Tonial, Valeska Rossi Duarte, Alexsandra Rodrigues de Mendonça Favacho, Eduardo de Castro Ferreira, Dina Regis Recaldes Rodrigues Argeropulos Aquino","['Camila Maria Andrade dos Santos', 'Ana Lúcia Tonial', 'Valeska Rossi Duarte', 'Alexsandra Rodrigues de Mendonça Favacho', 'Eduardo de Castro Ferreira', 'Dina Regis Recaldes Rodrigues Argeropulos Aquino']",2018,https://www.semanticscholar.org/paper/bdbebe2f5a33ae44f308b3969f2135b8753d7feb,"Casos de leishmaniose visceral felina (FVL) foram confirmados em diferentes regioes do Brasil, inclusive na regiao Centro-Oeste, que e considerada area endemica para as leishmanioses. Gatos infectados por Leishmania spp. comumente nao manifestam sinais clinicos caracteristicos da doenca, oligossintomaticos. O gato sintomatico pode apresentar ainda uma unica manifestacao clinica ou associados ainda a sinais clinicos inespecificos, comuns em outras patologias dos felinos domesticos. O objetivo deste trabalho foi relatar um caso de um gato domestico, sem raca definida, femea, sete anos de idade com historico de hiporexia e emagrecimento progressivo com evolucao de tres anos. No exame clinico, os achados foram aumento discreto dos linfonodos popliteos e um quadro de gengivo-estomatite cronica. No caso a ser relatado a analise citologica de aspirado de material de linfonodo popliteo foi conclusiva para infeccao natural por Leishmania spp. Foram visualizadas formas amastigotas de Leishmania spp., posteriormente confirmada pela PCR dirigida ao genero Leishmania spp. O exame parasitologico direto mostrou ser um metodo eficaz no diagnostico da leishmaniose felina. Este caso reforca a importância em incluir a leishmaniose no diagnostico diferencial das patologias que acometem felinos oligossintomaticos provenientes de areas endemicas.",3,0,Estudos em Patologia Veterinária,Biology,None,2018-11-09,Estudos em Patologia Veterinária,bdbebe2f5a33ae44f308b3969f2135b8753d7feb,"{""MAG"": ""2907221090"", ""DOI"": ""10.22533/at.ed.31019140812"", ""CorpusId"": 165365266}",True,https://www.atenaeditora.com.br/wp-content/uploads/2019/08/E-book-Estudos-em-Patologia-Veterinaria.pdf,gato,1
19,Perfil dos tutores de cão e gato no município de bom Jesus-PI,"Dulcilany Pereira Cardoso, Raylson Pereira de Oliveira, Daiane de Sousa Estrela, Luana Araújo Saraiva, M. P. O. Farias, P. Silva","['Dulcilany Pereira Cardoso', 'Raylson Pereira de Oliveira', 'Daiane de Sousa Estrela', 'Luana Araújo Saraiva', 'M. P. O. Farias', 'P. Silva']",2016,https://www.semanticscholar.org/paper/ca8b20b646392c7be1f50e3b758187472877e739,"Bom Jesus, Piaui, is a city in which is visibly noticeable a lot of errant animals roaming the streets. The study aimed to characterize the profile of dog and cat guardians of the city, taking into account the behavior and responsible ownership of these animals. The characterization of the tutors was made through the use of questionnaires with 25 objective questions, among them socio-economic questions and on care to be taken with the pet. The city of Bom Jesus proved to be a city where the population mostly has a college degree or complete and economically middle class. But still did not get good results with respect to responsible ownership, as 19.57% of the animals have free access to the street, 18.92% go out to walk without a guide or unaccompanied, only 11.11% of those collect the feces of their animals on the street, 38.60% were never taken to the veterinarian, 64% reported that the animal had already infestation by ectoparasites and of these only 9.09 was treated correctly (animal and environment) and its 19.30%",13,21,,Psychology,None,2016-04-29,,ca8b20b646392c7be1f50e3b758187472877e739,"{""MAG"": ""2522353367"", ""DOI"": ""10.22256/PUBVET.V10N8.580-586"", ""CorpusId"": 151415383}",True,https://ojs.pubvet.com.br/index.php/revista/article/view/1434/1434,gato,1
20,Esporotricosis linfocutánea secundaria a una mordedura de gato,"Alejo Bertera, María Verónica Rossi, Sandra García, Gladis Tesadro, Ítalo Aloise","['Alejo Bertera', 'María Verónica Rossi', 'Sandra García', 'Gladis Tesadro', 'Ítalo Aloise']",2017,https://www.semanticscholar.org/paper/d05b7ca5fd30cf5d23d9d2b8f8022aecf3651274,,3,0,,Medicine,None,2017-09-26,,d05b7ca5fd30cf5d23d9d2b8f8022aecf3651274,"{""MAG"": ""2908174194"", ""CorpusId"": 81829687}",False,,gato,1
