videoId,titulo,descricao,canal,publicado_em,link
aoFMyMYhKCM,My 5-Step UX/UI Design Process — From Start to Deliver,Think. Make. Check. Simplicity is key when working on a project. That's why I follow a streamlined approach: · Understand the ...,Faizur Rehman,2023-07-26T11:28:36Z,https://www.youtube.com/watch?v=aoFMyMYhKCM
EyhPvwY7KmQ,UX design usando a IA para ampliar atuação,Post no linkedin do Thomas: https://www.linkedin.com/feed/update/urn:li:activity:7322961157202309121/?,DesignTeam,2025-04-30T14:40:30Z,https://www.youtube.com/watch?v=EyhPvwY7KmQ
PZ2hchA4Jvg,UX Research &amp; Prototype Testing | Google UX Design Certificate,"Learn how to conduct research with a usability study to test your prototype. Once you have your research findings, use the insights ...",Google Career Certificates,2021-06-09T12:30:05Z,https://www.youtube.com/watch?v=PZ2hchA4Jvg
ycstDqzlBkE,I found the fastest way to improve my UX case study presentation #shorts #uxdesign #miro,"Design smarter not harder with @mirohq . As someone who loves to hand sketch early designs, I've always loathed the time it ...",Charli Cheung,2024-12-16T17:55:27Z,https://www.youtube.com/watch?v=ycstDqzlBkE
dQF6liecMEo,Quickly organise lengthy user research with ChatGPT &amp; Figjam | UIUX Design,I've been doing qualitative user research lately and the amount of data to sort through is getting overwhelming! If you're in the ...,yourdesignbestie | UX Design & Lifestyle,2023-07-16T06:29:46Z,https://www.youtube.com/watch?v=dQF6liecMEo
lJAbG_mgATs,"Google UX Design Certificate, is it WORTH IT? 🤔 #uxui","read the caption ↓ ℹ️ Reminder The Google UX Design Certificate is a 200+ hours program on Coursera covering wireframes, ...",ramdomlilisvg,2024-03-13T09:34:15Z,https://www.youtube.com/watch?v=lJAbG_mgATs
RFfPbVhfyQs,"my 9-step UX research process (ft. notion, miro &amp; more!)","Hey, it's Estie! Recently I've received some DMs about how I do UX research. I've also noticed that companies are increasingly ...",Estie Choi,2021-04-19T23:00:43Z,https://www.youtube.com/watch?v=RFfPbVhfyQs
ObQvzxrcUMM,UX research process #uxresearch #uxtips #userexperience #startup,,UXNATA,2023-03-15T14:15:01Z,https://www.youtube.com/watch?v=ObQvzxrcUMM
RqEFo2-OUd0,AI Is Changing UX Design Faster Than You Think,Last week I went to an invite-only design conference in NYC hosted by @usertestingcom –This Connect. If you're a UX designer ...,Nolan Perkins,2025-06-06T14:34:22Z,https://www.youtube.com/watch?v=RqEFo2-OUd0
0nwWTQm0yZc,Como Estudo UX Research no Figma e Miro: Dicas Rápidas de Aplicação,,Ux figmando,2024-08-18T13:06:08Z,https://www.youtube.com/watch?v=0nwWTQm0yZc
yx65xfCkzFU,❓What the heck do UX Researchers do❓,"Hi friends, Guess what, my friends and family still struggle to understand what I do as a UX Researcher :-) I totally understand ...",Tifffster,2022-01-18T08:06:29Z,https://www.youtube.com/watch?v=yx65xfCkzFU
SSahfX_sbVM,The difference between UX Designer and Software Engineer,,chunbuns,2021-10-29T21:59:11Z,https://www.youtube.com/watch?v=SSahfX_sbVM
