rank,title,link,object_id,score,comments,author,created,created_at_i,story_text,comment_text,num_points,story_id,story_title,story_url,parent_id,relevancy_score,termo
11,USA gives South Korea green light to build nuclear submarines,https://www.navalnews.com/naval-news/2025/10/usa-gives-south-korea-green-light-to-build-nuclear-submarines/,45939459,97,89,JumpCrisscross,2025-11-15T18:29:00Z,1763231340,,,97,45939459,,,,0,natal 2026
12,China builds first dedicated drone carrier,https://www.navalnews.com/naval-news/2024/05/china-builds-worlds-first-dedicated-drone-carrier/,40397015,66,61,ulrischa,2024-05-18T07:06:10Z,1716015970,,,66,40397015,,,,0,natal 2026
13,Russian Spy Ship Yantar Loitering Near Trans-Atlantic Internet Cables,https://www.navalnews.com/naval-news/2021/08/russian-spy-ship-yantar-loitering-near-trans-atlantic-internet-cables/,28273240,35,13,triple_m,2021-08-23T07:46:03Z,1629704763,,,35,28273240,,,,0,natal 2026
14,China Suddenly Building Fleet of Special Barges Suitable for Taiwan Landings,https://www.navalnews.com/naval-news/2025/01/china-suddenly-building-fleet-of-special-barges-suitable-for-taiwan-landings/,42668868,28,38,reducesuffering,2025-01-11T20:56:57Z,1736629017,,,28,42668868,,,,0,natal 2026
15,U.S. Navy Submarine First in World Fitted with Silent Caterpillar Drive,https://www.navalnews.com/naval-news/2024/04/u-s-navy-submarine-first-in-world-fitted-with-silent-caterpillar-drive/,39891527,27,19,wood_spirit,2024-04-01T07:01:54Z,1711954914,,,27,39891527,,,,0,natal 2026
16,China Builds New Large Jet-Powered Ekranoplan,https://www.navalnews.com/naval-news/2025/06/china-builds-new-jet-powered-large-ekranoplan/,44426823,21,6,wood_spirit,2025-06-30T19:14:10Z,1751310850,,,21,44426823,,,,0,natal 2026
17,China’s New Aircraft Carrier Is as Big as It Can Be,https://www.navalnews.com/naval-news/2021/10/chinas-massive-new-aircraft-carrier-is-as-big-as-it-can-be/,29013328,16,0,nradov,2021-10-27T13:56:30Z,1635342990,,,16,29013328,,,,0,natal 2026
18,Japan releases image of Railgun installed on naval vessel,https://www.navalnews.com/naval-news/2025/04/japan-releases-image-of-railgun-installed-on-naval-vessel/,43788741,13,0,gnabgib,2025-04-24T23:45:56Z,1745538356,,,13,43788741,,,,0,natal 2026
19,Turkey Closes the Dardanelles and Bosphorus to Warships,https://www.navalnews.com/naval-news/2022/02/turkey-closes-the-dardanelles-and-bosphorus-to-warships/,30505897,12,1,belter,2022-02-28T22:13:11Z,1646086391,,,12,30505897,,,,0,natal 2026
20,Making hydropower plants more sustainable,https://news.mit.edu/2022/natel-energy-hydropower-0805,32357047,9,0,Brajeshwar,2022-08-05T14:56:56Z,1659711416,,,9,32357047,,,,0,natal 2026
